Epoch [1/100], Loss: 0.0721
Epoch [2/100], Loss: 0.0723
Epoch [3/100], Loss: 0.0716
Epoch [4/100], Loss: 0.0712
Epoch [5/100], Loss: 0.0706
-- Evaluation after Epoch [5/100], Test Loss: 0.0650
New best test loss: 0.0650. Saving model.
Epoch [6/100], Loss: 0.0701
Epoch [7/100], Loss: 0.0698
Epoch [8/100], Loss: 0.0694
Epoch [9/100], Loss: 0.0669
Epoch [10/100], Loss: 0.0572
-- Evaluation after Epoch [10/100], Test Loss: 0.0591
New best test loss: 0.0591. Saving model.
Epoch [11/100], Loss: 0.0519
Epoch [12/100], Loss: 0.0501
Epoch [13/100], Loss: 0.0491
Epoch [14/100], Loss: 0.0482
Epoch [15/100], Loss: 0.0478
-- Evaluation after Epoch [15/100], Test Loss: 0.0912
Epoch [16/100], Loss: 0.0476
Epoch [17/100], Loss: 0.0469
Epoch [18/100], Loss: 0.0465
Epoch [19/100], Loss: 0.0462
Epoch [20/100], Loss: 0.0460
-- Evaluation after Epoch [20/100], Test Loss: 0.0962
Epoch [21/100], Loss: 0.0458
Epoch [22/100], Loss: 0.0450
Epoch [23/100], Loss: 0.0441
Epoch [24/100], Loss: 0.0440
Epoch [25/100], Loss: 0.0438
-- Evaluation after Epoch [25/100], Test Loss: 0.0819
Epoch [26/100], Loss: 0.0431
Epoch [27/100], Loss: 0.0423
Epoch [28/100], Loss: 0.0429
Epoch [29/100], Loss: 0.0425
Epoch [30/100], Loss: 0.0416
-- Evaluation after Epoch [30/100], Test Loss: 0.0667
Epoch [31/100], Loss: 0.0412
Epoch [32/100], Loss: 0.0410
Epoch [33/100], Loss: 0.0409
Epoch [34/100], Loss: 0.0406
Epoch [35/100], Loss: 0.0399
-- Evaluation after Epoch [35/100], Test Loss: 0.0682
Epoch [36/100], Loss: 0.0401
Epoch [37/100], Loss: 0.0387
Epoch [38/100], Loss: 0.0392
Epoch [39/100], Loss: 0.0385
Epoch [40/100], Loss: 0.0377
-- Evaluation after Epoch [40/100], Test Loss: 0.0591
New best test loss: 0.0591. Saving model.
Epoch [41/100], Loss: 0.0377
Epoch [42/100], Loss: 0.0383
Epoch [43/100], Loss: 0.0377
Epoch [44/100], Loss: 0.0366
Epoch [45/100], Loss: 0.0358
-- Evaluation after Epoch [45/100], Test Loss: 0.0574
New best test loss: 0.0574. Saving model.
Epoch [46/100], Loss: 0.0365
Epoch [47/100], Loss: 0.0355
Epoch [48/100], Loss: 0.0356
Epoch [49/100], Loss: 0.0354
Epoch [50/100], Loss: 0.0344
-- Evaluation after Epoch [50/100], Test Loss: 0.0612
Epoch [51/100], Loss: 0.0342
Epoch [52/100], Loss: 0.0348
Epoch [53/100], Loss: 0.0337
Epoch [54/100], Loss: 0.0334
Epoch [55/100], Loss: 0.0335
-- Evaluation after Epoch [55/100], Test Loss: 0.0766
Epoch [56/100], Loss: 0.0333
Epoch [57/100], Loss: 0.0334
Epoch [58/100], Loss: 0.0320
Epoch [59/100], Loss: 0.0314
Epoch [60/100], Loss: 0.0321
-- Evaluation after Epoch [60/100], Test Loss: 0.0650
Epoch [61/100], Loss: 0.0318
Epoch [62/100], Loss: 0.0319
Epoch [63/100], Loss: 0.0318
Epoch [64/100], Loss: 0.0308
Epoch [65/100], Loss: 0.0305
-- Evaluation after Epoch [65/100], Test Loss: 0.0570
New best test loss: 0.0570. Saving model.
Epoch [66/100], Loss: 0.0309
Epoch [67/100], Loss: 0.0321
Epoch [68/100], Loss: 0.0306
Epoch [69/100], Loss: 0.0291
Epoch [70/100], Loss: 0.0293
-- Evaluation after Epoch [70/100], Test Loss: 0.0624
Epoch [71/100], Loss: 0.0297
Epoch [72/100], Loss: 0.0289
Epoch [73/100], Loss: 0.0287
Epoch [74/100], Loss: 0.0289
Epoch [75/100], Loss: 0.0286
-- Evaluation after Epoch [75/100], Test Loss: 0.0614
Epoch [76/100], Loss: 0.0280
Epoch [77/100], Loss: 0.0280
Epoch [78/100], Loss: 0.0282
Epoch [79/100], Loss: 0.0277
Epoch [80/100], Loss: 0.0276
-- Evaluation after Epoch [80/100], Test Loss: 0.0539
New best test loss: 0.0539. Saving model.
Epoch [81/100], Loss: 0.0271
Epoch [82/100], Loss: 0.0270
Epoch [83/100], Loss: 0.0270
Epoch [84/100], Loss: 0.0267
Epoch [85/100], Loss: 0.0265
-- Evaluation after Epoch [85/100], Test Loss: 0.0631
Epoch [86/100], Loss: 0.0265
Epoch [87/100], Loss: 0.0270
Epoch [88/100], Loss: 0.0266
Epoch [89/100], Loss: 0.0260
Epoch [90/100], Loss: 0.0260
-- Evaluation after Epoch [90/100], Test Loss: 0.0602
Epoch [91/100], Loss: 0.0258
Epoch [92/100], Loss: 0.0255
Epoch [93/100], Loss: 0.0257
Epoch [94/100], Loss: 0.0256
Epoch [95/100], Loss: 0.0260
-- Evaluation after Epoch [95/100], Test Loss: 0.0537
New best test loss: 0.0537. Saving model.
Epoch [96/100], Loss: 0.0254
Epoch [97/100], Loss: 0.0249
Epoch [98/100], Loss: 0.0251
Epoch [99/100], Loss: 0.0248
Epoch [100/100], Loss: 0.0248
-- Evaluation after Epoch [100/100], Test Loss: 0.0489
New best test loss: 0.0489. Saving model.
Loading the best model from checkpoint with test loss: 0.0489
Validation Loss (MSE): 0.0334
Validation results saved to: ./Results\LSTMStudy_20241126_112936\Val\validation_results.txt
Avg Test Loss (MSE): 0.0489
Test results saved to: ./Results\LSTMStudy_20241126_112936\Test\test_results.txt
