Epoch [1/100], Loss: 0.0659
Epoch [2/100], Loss: 0.0555
Epoch [3/100], Loss: 0.0523
Epoch [4/100], Loss: 0.0504
Epoch [5/100], Loss: 0.0503
-- Evaluation after Epoch [5/100], Test Loss: 0.0863
New best test loss: 0.0863. Saving model.
Epoch [6/100], Loss: 0.0499
Epoch [7/100], Loss: 0.0500
Epoch [8/100], Loss: 0.0499
Epoch [9/100], Loss: 0.0500
Epoch [10/100], Loss: 0.0494
-- Evaluation after Epoch [10/100], Test Loss: 0.0921
Epoch [11/100], Loss: 0.0491
Epoch [12/100], Loss: 0.0489
Epoch [13/100], Loss: 0.0482
Epoch [14/100], Loss: 0.0474
Epoch [15/100], Loss: 0.0469
-- Evaluation after Epoch [15/100], Test Loss: 0.0832
New best test loss: 0.0832. Saving model.
Epoch [16/100], Loss: 0.0476
Epoch [17/100], Loss: 0.0464
Epoch [18/100], Loss: 0.0458
Epoch [19/100], Loss: 0.0457
Epoch [20/100], Loss: 0.0454
-- Evaluation after Epoch [20/100], Test Loss: 0.0673
New best test loss: 0.0673. Saving model.
Epoch [21/100], Loss: 0.0452
Epoch [22/100], Loss: 0.0452
Epoch [23/100], Loss: 0.0440
Epoch [24/100], Loss: 0.0436
Epoch [25/100], Loss: 0.0433
-- Evaluation after Epoch [25/100], Test Loss: 0.0692
Epoch [26/100], Loss: 0.0447
Epoch [27/100], Loss: 0.0434
Epoch [28/100], Loss: 0.0430
Epoch [29/100], Loss: 0.0424
Epoch [30/100], Loss: 0.0425
-- Evaluation after Epoch [30/100], Test Loss: 0.0704
Epoch [31/100], Loss: 0.0430
Epoch [32/100], Loss: 0.0415
Epoch [33/100], Loss: 0.0416
Epoch [34/100], Loss: 0.0415
Epoch [35/100], Loss: 0.0418
-- Evaluation after Epoch [35/100], Test Loss: 0.0558
New best test loss: 0.0558. Saving model.
Epoch [36/100], Loss: 0.0411
Epoch [37/100], Loss: 0.0405
Epoch [38/100], Loss: 0.0398
Epoch [39/100], Loss: 0.0414
Epoch [40/100], Loss: 0.0397
-- Evaluation after Epoch [40/100], Test Loss: 0.0662
Epoch [41/100], Loss: 0.0396
Epoch [42/100], Loss: 0.0397
Epoch [43/100], Loss: 0.0386
Epoch [44/100], Loss: 0.0392
Epoch [45/100], Loss: 0.0384
-- Evaluation after Epoch [45/100], Test Loss: 0.0664
Epoch [46/100], Loss: 0.0380
Epoch [47/100], Loss: 0.0380
Epoch [48/100], Loss: 0.0373
Epoch [49/100], Loss: 0.0362
Epoch [50/100], Loss: 0.0370
-- Evaluation after Epoch [50/100], Test Loss: 0.0620
Epoch [51/100], Loss: 0.0364
Epoch [52/100], Loss: 0.0359
Epoch [53/100], Loss: 0.0359
Epoch [54/100], Loss: 0.0351
Epoch [55/100], Loss: 0.0347
-- Evaluation after Epoch [55/100], Test Loss: 0.0660
Epoch [56/100], Loss: 0.0356
Epoch [57/100], Loss: 0.0347
Epoch [58/100], Loss: 0.0352
Epoch [59/100], Loss: 0.0340
Epoch [60/100], Loss: 0.0337
-- Evaluation after Epoch [60/100], Test Loss: 0.0707
Epoch [61/100], Loss: 0.0341
Epoch [62/100], Loss: 0.0332
Epoch [63/100], Loss: 0.0333
Epoch [64/100], Loss: 0.0332
Epoch [65/100], Loss: 0.0332
-- Evaluation after Epoch [65/100], Test Loss: 0.0559
Epoch [66/100], Loss: 0.0350
Epoch [67/100], Loss: 0.0331
Epoch [68/100], Loss: 0.0320
Epoch [69/100], Loss: 0.0318
Epoch [70/100], Loss: 0.0313
-- Evaluation after Epoch [70/100], Test Loss: 0.0607
Epoch [71/100], Loss: 0.0313
Epoch [72/100], Loss: 0.0309
Epoch [73/100], Loss: 0.0317
Epoch [74/100], Loss: 0.0306
Epoch [75/100], Loss: 0.0308
-- Evaluation after Epoch [75/100], Test Loss: 0.0865
Epoch [76/100], Loss: 0.0305
Epoch [77/100], Loss: 0.0308
Epoch [78/100], Loss: 0.0304
Epoch [79/100], Loss: 0.0303
Epoch [80/100], Loss: 0.0303
-- Evaluation after Epoch [80/100], Test Loss: 0.0683
Epoch [81/100], Loss: 0.0297
Epoch [82/100], Loss: 0.0303
Epoch [83/100], Loss: 0.0299
Epoch [84/100], Loss: 0.0287
Epoch [85/100], Loss: 0.0294
-- Evaluation after Epoch [85/100], Test Loss: 0.0713
Epoch [86/100], Loss: 0.0296
Epoch [87/100], Loss: 0.0300
Epoch [88/100], Loss: 0.0294
Epoch [89/100], Loss: 0.0304
Epoch [90/100], Loss: 0.0305
-- Evaluation after Epoch [90/100], Test Loss: 0.0656
Epoch [91/100], Loss: 0.0308
Epoch [92/100], Loss: 0.0295
Epoch [93/100], Loss: 0.0308
Epoch [94/100], Loss: 0.0294
Epoch [95/100], Loss: 0.0287
-- Evaluation after Epoch [95/100], Test Loss: 0.0545
New best test loss: 0.0545. Saving model.
Epoch [96/100], Loss: 0.0284
Epoch [97/100], Loss: 0.0283
Epoch [98/100], Loss: 0.0272
Epoch [99/100], Loss: 0.0271
Epoch [100/100], Loss: 0.0278
-- Evaluation after Epoch [100/100], Test Loss: 0.0512
New best test loss: 0.0512. Saving model.
Loading the best model from checkpoint with test loss: 0.0512
Validation Loss (MSE): 0.0382
Validation results saved to: ./Results\LSTMStudy_20241126_232137\Val\validation_results.txt
Avg Test Loss (MSE): 0.0512
Test results saved to: ./Results\LSTMStudy_20241126_232137\Test\test_results.txt
