Epoch [1/200], Loss: 0.0848
Epoch [2/200], Loss: 0.0667
Epoch [3/200], Loss: 0.0636
Epoch [4/200], Loss: 0.0628
Epoch [5/200], Loss: 0.0632
-- Evaluation after Epoch [5/200], Test Loss: 0.1114
New best test loss: 0.1114. Saving model.
Epoch [6/200], Loss: 0.0628
Epoch [7/200], Loss: 0.0624
Epoch [8/200], Loss: 0.0619
Epoch [9/200], Loss: 0.0613
Epoch [10/200], Loss: 0.0601
-- Evaluation after Epoch [10/200], Test Loss: 0.1057
New best test loss: 0.1057. Saving model.
Epoch [11/200], Loss: 0.0594
Epoch [12/200], Loss: 0.0588
Epoch [13/200], Loss: 0.0583
Epoch [14/200], Loss: 0.0574
Epoch [15/200], Loss: 0.0572
-- Evaluation after Epoch [15/200], Test Loss: 0.0966
New best test loss: 0.0966. Saving model.
Epoch [16/200], Loss: 0.0572
Epoch [17/200], Loss: 0.0567
Epoch [18/200], Loss: 0.0560
Epoch [19/200], Loss: 0.0559
Epoch [20/200], Loss: 0.0555
-- Evaluation after Epoch [20/200], Test Loss: 0.1020
Epoch [21/200], Loss: 0.0547
Epoch [22/200], Loss: 0.0545
Epoch [23/200], Loss: 0.0540
Epoch [24/200], Loss: 0.0529
Epoch [25/200], Loss: 0.0526
-- Evaluation after Epoch [25/200], Test Loss: 0.0904
New best test loss: 0.0904. Saving model.
Epoch [26/200], Loss: 0.0526
Epoch [27/200], Loss: 0.0522
Epoch [28/200], Loss: 0.0510
Epoch [29/200], Loss: 0.0506
Epoch [30/200], Loss: 0.0505
-- Evaluation after Epoch [30/200], Test Loss: 0.0957
Epoch [31/200], Loss: 0.0511
Epoch [32/200], Loss: 0.0506
Epoch [33/200], Loss: 0.0495
Epoch [34/200], Loss: 0.0499
Epoch [35/200], Loss: 0.0492
-- Evaluation after Epoch [35/200], Test Loss: 0.0900
New best test loss: 0.0900. Saving model.
Epoch [36/200], Loss: 0.0487
Epoch [37/200], Loss: 0.0487
Epoch [38/200], Loss: 0.0479
Epoch [39/200], Loss: 0.0472
Epoch [40/200], Loss: 0.0470
-- Evaluation after Epoch [40/200], Test Loss: 0.0908
Epoch [41/200], Loss: 0.0474
Epoch [42/200], Loss: 0.0466
Epoch [43/200], Loss: 0.0471
Epoch [44/200], Loss: 0.0459
Epoch [45/200], Loss: 0.0456
-- Evaluation after Epoch [45/200], Test Loss: 0.0951
Epoch [46/200], Loss: 0.0449
Epoch [47/200], Loss: 0.0447
Epoch [48/200], Loss: 0.0447
Epoch [49/200], Loss: 0.0442
Epoch [50/200], Loss: 0.0451
-- Evaluation after Epoch [50/200], Test Loss: 0.0946
Epoch [51/200], Loss: 0.0440
Epoch [52/200], Loss: 0.0434
Epoch [53/200], Loss: 0.0422
Epoch [54/200], Loss: 0.0425
Epoch [55/200], Loss: 0.0422
-- Evaluation after Epoch [55/200], Test Loss: 0.0873
New best test loss: 0.0873. Saving model.
Epoch [56/200], Loss: 0.0414
Epoch [57/200], Loss: 0.0417
Epoch [58/200], Loss: 0.0410
Epoch [59/200], Loss: 0.0401
Epoch [60/200], Loss: 0.0410
-- Evaluation after Epoch [60/200], Test Loss: 0.0936
Epoch [61/200], Loss: 0.0399
Epoch [62/200], Loss: 0.0404
Epoch [63/200], Loss: 0.0396
Epoch [64/200], Loss: 0.0386
Epoch [65/200], Loss: 0.0389
-- Evaluation after Epoch [65/200], Test Loss: 0.0818
New best test loss: 0.0818. Saving model.
Epoch [66/200], Loss: 0.0395
Epoch [67/200], Loss: 0.0394
Epoch [68/200], Loss: 0.0383
Epoch [69/200], Loss: 0.0373
Epoch [70/200], Loss: 0.0378
-- Evaluation after Epoch [70/200], Test Loss: 0.1004
Epoch [71/200], Loss: 0.0369
Epoch [72/200], Loss: 0.0362
Epoch [73/200], Loss: 0.0362
Epoch [74/200], Loss: 0.0372
Epoch [75/200], Loss: 0.0357
-- Evaluation after Epoch [75/200], Test Loss: 0.0908
Epoch [76/200], Loss: 0.0361
Epoch [77/200], Loss: 0.0360
Epoch [78/200], Loss: 0.0367
Epoch [79/200], Loss: 0.0354
Epoch [80/200], Loss: 0.0348
-- Evaluation after Epoch [80/200], Test Loss: 0.0971
Epoch [81/200], Loss: 0.0341
Epoch [82/200], Loss: 0.0342
Epoch [83/200], Loss: 0.0340
Epoch [84/200], Loss: 0.0340
Epoch [85/200], Loss: 0.0336
-- Evaluation after Epoch [85/200], Test Loss: 0.0964
Epoch [86/200], Loss: 0.0336
Epoch [87/200], Loss: 0.0343
Epoch [88/200], Loss: 0.0332
Epoch [89/200], Loss: 0.0334
Epoch [90/200], Loss: 0.0333
-- Evaluation after Epoch [90/200], Test Loss: 0.0941
Epoch [91/200], Loss: 0.0322
Epoch [92/200], Loss: 0.0337
Epoch [93/200], Loss: 0.0338
Epoch [94/200], Loss: 0.0327
