Epoch [1/200], Loss: 0.0761
Epoch [2/200], Loss: 0.0656
Epoch [3/200], Loss: 0.0641
Epoch [4/200], Loss: 0.0633
Epoch [5/200], Loss: 0.0629
-- Evaluation after Epoch [5/200], Test Loss: 0.1208
New best test loss: 0.1208. Saving model.
Epoch [6/200], Loss: 0.0629
Epoch [7/200], Loss: 0.0626
Epoch [8/200], Loss: 0.0625
Epoch [9/200], Loss: 0.0611
Epoch [10/200], Loss: 0.0605
-- Evaluation after Epoch [10/200], Test Loss: 0.0968
New best test loss: 0.0968. Saving model.
Epoch [11/200], Loss: 0.0597
Epoch [12/200], Loss: 0.0590
Epoch [13/200], Loss: 0.0582
Epoch [14/200], Loss: 0.0588
Epoch [15/200], Loss: 0.0579
-- Evaluation after Epoch [15/200], Test Loss: 0.0974
Epoch [16/200], Loss: 0.0580
Epoch [17/200], Loss: 0.0571
Epoch [18/200], Loss: 0.0572
Epoch [19/200], Loss: 0.0555
Epoch [20/200], Loss: 0.0551
-- Evaluation after Epoch [20/200], Test Loss: 0.1052
Epoch [21/200], Loss: 0.0550
Epoch [22/200], Loss: 0.0550
Epoch [23/200], Loss: 0.0537
Epoch [24/200], Loss: 0.0549
Epoch [25/200], Loss: 0.0542
-- Evaluation after Epoch [25/200], Test Loss: 0.1082
Epoch [26/200], Loss: 0.0538
Epoch [27/200], Loss: 0.0536
Epoch [28/200], Loss: 0.0530
Epoch [29/200], Loss: 0.0527
Epoch [30/200], Loss: 0.0526
-- Evaluation after Epoch [30/200], Test Loss: 0.1057
Epoch [31/200], Loss: 0.0524
Epoch [32/200], Loss: 0.0534
Epoch [33/200], Loss: 0.0522
Epoch [34/200], Loss: 0.0519
Epoch [35/200], Loss: 0.0517
-- Evaluation after Epoch [35/200], Test Loss: 0.1081
Epoch [36/200], Loss: 0.0510
Epoch [37/200], Loss: 0.0514
Epoch [38/200], Loss: 0.0515
Epoch [39/200], Loss: 0.0503
Epoch [40/200], Loss: 0.0504
-- Evaluation after Epoch [40/200], Test Loss: 0.1111
Epoch [41/200], Loss: 0.0501
Epoch [42/200], Loss: 0.0495
Epoch [43/200], Loss: 0.0493
Epoch [44/200], Loss: 0.0493
Epoch [45/200], Loss: 0.0491
-- Evaluation after Epoch [45/200], Test Loss: 0.0936
New best test loss: 0.0936. Saving model.
Epoch [46/200], Loss: 0.0480
Epoch [47/200], Loss: 0.0479
Epoch [48/200], Loss: 0.0472
Epoch [49/200], Loss: 0.0469
Epoch [50/200], Loss: 0.0480
-- Evaluation after Epoch [50/200], Test Loss: 0.0972
Epoch [51/200], Loss: 0.0469
Epoch [52/200], Loss: 0.0474
Epoch [53/200], Loss: 0.0462
Epoch [54/200], Loss: 0.0461
Epoch [55/200], Loss: 0.0450
-- Evaluation after Epoch [55/200], Test Loss: 0.0947
Epoch [56/200], Loss: 0.0457
Epoch [57/200], Loss: 0.0446
Epoch [58/200], Loss: 0.0443
Epoch [59/200], Loss: 0.0450
Epoch [60/200], Loss: 0.0445
-- Evaluation after Epoch [60/200], Test Loss: 0.0862
New best test loss: 0.0862. Saving model.
Epoch [61/200], Loss: 0.0429
Epoch [62/200], Loss: 0.0428
Epoch [63/200], Loss: 0.0434
Epoch [64/200], Loss: 0.0419
Epoch [65/200], Loss: 0.0423
-- Evaluation after Epoch [65/200], Test Loss: 0.0690
New best test loss: 0.0690. Saving model.
Epoch [66/200], Loss: 0.0417
Epoch [67/200], Loss: 0.0431
Epoch [68/200], Loss: 0.0413
Epoch [69/200], Loss: 0.0409
Epoch [70/200], Loss: 0.0419
-- Evaluation after Epoch [70/200], Test Loss: 0.0756
Epoch [71/200], Loss: 0.0410
Epoch [72/200], Loss: 0.0402
Epoch [73/200], Loss: 0.0406
Epoch [74/200], Loss: 0.0406
Epoch [75/200], Loss: 0.0388
-- Evaluation after Epoch [75/200], Test Loss: 0.0689
New best test loss: 0.0689. Saving model.
Epoch [76/200], Loss: 0.0389
Epoch [77/200], Loss: 0.0390
Epoch [78/200], Loss: 0.0379
Epoch [79/200], Loss: 0.0386
Epoch [80/200], Loss: 0.0387
-- Evaluation after Epoch [80/200], Test Loss: 0.0637
New best test loss: 0.0637. Saving model.
Epoch [81/200], Loss: 0.0386
Epoch [82/200], Loss: 0.0372
Epoch [83/200], Loss: 0.0377
Epoch [84/200], Loss: 0.0375
Epoch [85/200], Loss: 0.0363
-- Evaluation after Epoch [85/200], Test Loss: 0.0651
Epoch [86/200], Loss: 0.0369
