Epoch [1/200], Loss: 0.0746
Epoch [2/200], Loss: 0.0674
Epoch [3/200], Loss: 0.0669
Epoch [4/200], Loss: 0.0656
Epoch [5/200], Loss: 0.0644
-- Evaluation after Epoch [5/200], Test Loss: 0.1125
New best test loss: 0.1125. Saving model.
Epoch [6/200], Loss: 0.0632
Epoch [7/200], Loss: 0.0628
Epoch [8/200], Loss: 0.0620
Epoch [9/200], Loss: 0.0609
Epoch [10/200], Loss: 0.0603
-- Evaluation after Epoch [10/200], Test Loss: 0.1005
New best test loss: 0.1005. Saving model.
Epoch [11/200], Loss: 0.0598
Epoch [12/200], Loss: 0.0597
Epoch [13/200], Loss: 0.0597
Epoch [14/200], Loss: 0.0591
Epoch [15/200], Loss: 0.0589
-- Evaluation after Epoch [15/200], Test Loss: 0.0931
New best test loss: 0.0931. Saving model.
Epoch [16/200], Loss: 0.0585
Epoch [17/200], Loss: 0.0581
Epoch [18/200], Loss: 0.0582
Epoch [19/200], Loss: 0.0577
Epoch [20/200], Loss: 0.0580
-- Evaluation after Epoch [20/200], Test Loss: 0.0975
Epoch [21/200], Loss: 0.0566
Epoch [22/200], Loss: 0.0568
Epoch [23/200], Loss: 0.0561
Epoch [24/200], Loss: 0.0565
Epoch [25/200], Loss: 0.0556
-- Evaluation after Epoch [25/200], Test Loss: 0.0933
Epoch [26/200], Loss: 0.0553
Epoch [27/200], Loss: 0.0554
Epoch [28/200], Loss: 0.0546
Epoch [29/200], Loss: 0.0538
Epoch [30/200], Loss: 0.0535
-- Evaluation after Epoch [30/200], Test Loss: 0.0916
New best test loss: 0.0916. Saving model.
Epoch [31/200], Loss: 0.0526
Epoch [32/200], Loss: 0.0531
Epoch [33/200], Loss: 0.0544
Epoch [34/200], Loss: 0.0537
Epoch [35/200], Loss: 0.0519
-- Evaluation after Epoch [35/200], Test Loss: 0.0763
New best test loss: 0.0763. Saving model.
Epoch [36/200], Loss: 0.0522
Epoch [37/200], Loss: 0.0515
Epoch [38/200], Loss: 0.0506
Epoch [39/200], Loss: 0.0510
Epoch [40/200], Loss: 0.0499
-- Evaluation after Epoch [40/200], Test Loss: 0.0860
Epoch [41/200], Loss: 0.0514
Epoch [42/200], Loss: 0.0505
Epoch [43/200], Loss: 0.0495
Epoch [44/200], Loss: 0.0485
Epoch [45/200], Loss: 0.0484
-- Evaluation after Epoch [45/200], Test Loss: 0.0864
Epoch [46/200], Loss: 0.0477
Epoch [47/200], Loss: 0.0475
Epoch [48/200], Loss: 0.0474
Epoch [49/200], Loss: 0.0472
Epoch [50/200], Loss: 0.0459
-- Evaluation after Epoch [50/200], Test Loss: 0.0902
Epoch [51/200], Loss: 0.0458
Epoch [52/200], Loss: 0.0464
Epoch [53/200], Loss: 0.0452
Epoch [54/200], Loss: 0.0448
Epoch [55/200], Loss: 0.0449
-- Evaluation after Epoch [55/200], Test Loss: 0.0817
Epoch [56/200], Loss: 0.0446
Epoch [57/200], Loss: 0.0433
Epoch [58/200], Loss: 0.0428
Epoch [59/200], Loss: 0.0426
Epoch [60/200], Loss: 0.0427
-- Evaluation after Epoch [60/200], Test Loss: 0.0847
Epoch [61/200], Loss: 0.0425
Epoch [62/200], Loss: 0.0420
Epoch [63/200], Loss: 0.0418
Epoch [64/200], Loss: 0.0427
Epoch [65/200], Loss: 0.0408
-- Evaluation after Epoch [65/200], Test Loss: 0.0804
Epoch [66/200], Loss: 0.0406
Epoch [67/200], Loss: 0.0413
Epoch [68/200], Loss: 0.0397
Epoch [69/200], Loss: 0.0405
Epoch [70/200], Loss: 0.0389
-- Evaluation after Epoch [70/200], Test Loss: 0.0713
New best test loss: 0.0713. Saving model.
Epoch [71/200], Loss: 0.0393
Epoch [72/200], Loss: 0.0383
Epoch [73/200], Loss: 0.0391
Epoch [74/200], Loss: 0.0387
Epoch [75/200], Loss: 0.0382
-- Evaluation after Epoch [75/200], Test Loss: 0.0695
New best test loss: 0.0695. Saving model.
Epoch [76/200], Loss: 0.0384
Epoch [77/200], Loss: 0.0380
Epoch [78/200], Loss: 0.0403
Epoch [79/200], Loss: 0.0399
Epoch [80/200], Loss: 0.0375
-- Evaluation after Epoch [80/200], Test Loss: 0.0700
Epoch [81/200], Loss: 0.0375
Epoch [82/200], Loss: 0.0375
Epoch [83/200], Loss: 0.0365
Epoch [84/200], Loss: 0.0363
Epoch [85/200], Loss: 0.0361
-- Evaluation after Epoch [85/200], Test Loss: 0.0628
New best test loss: 0.0628. Saving model.
Epoch [86/200], Loss: 0.0365
Epoch [87/200], Loss: 0.0352
Epoch [88/200], Loss: 0.0363
Epoch [89/200], Loss: 0.0361
Epoch [90/200], Loss: 0.0353
-- Evaluation after Epoch [90/200], Test Loss: 0.0653
Epoch [91/200], Loss: 0.0361
Epoch [92/200], Loss: 0.0363
Epoch [93/200], Loss: 0.0363
Epoch [94/200], Loss: 0.0370
Epoch [95/200], Loss: 0.0379
-- Evaluation after Epoch [95/200], Test Loss: 0.0602
New best test loss: 0.0602. Saving model.
Epoch [96/200], Loss: 0.0376
Epoch [97/200], Loss: 0.0375
Epoch [98/200], Loss: 0.0370
Epoch [99/200], Loss: 0.0368
Epoch [100/200], Loss: 0.0366
-- Evaluation after Epoch [100/200], Test Loss: 0.0625
Epoch [101/200], Loss: 0.0360
Epoch [102/200], Loss: 0.0371
Epoch [103/200], Loss: 0.0366
Epoch [104/200], Loss: 0.0350
Epoch [105/200], Loss: 0.0350
-- Evaluation after Epoch [105/200], Test Loss: 0.0622
Epoch [106/200], Loss: 0.0344
Epoch [107/200], Loss: 0.0350
Epoch [108/200], Loss: 0.0347
Epoch [109/200], Loss: 0.0350
Epoch [110/200], Loss: 0.0351
-- Evaluation after Epoch [110/200], Test Loss: 0.0605
Epoch [111/200], Loss: 0.0339
Epoch [112/200], Loss: 0.0342
Epoch [113/200], Loss: 0.0349
Epoch [114/200], Loss: 0.0349
Epoch [115/200], Loss: 0.0347
-- Evaluation after Epoch [115/200], Test Loss: 0.0703
Epoch [116/200], Loss: 0.0354
Epoch [117/200], Loss: 0.0351
Epoch [118/200], Loss: 0.0350
Epoch [119/200], Loss: 0.0345
Epoch [120/200], Loss: 0.0348
-- Evaluation after Epoch [120/200], Test Loss: 0.0803
Epoch [121/200], Loss: 0.0330
Epoch [122/200], Loss: 0.0325
Epoch [123/200], Loss: 0.0337
Epoch [124/200], Loss: 0.0353
Epoch [125/200], Loss: 0.0346
-- Evaluation after Epoch [125/200], Test Loss: 0.0850
Epoch [126/200], Loss: 0.0357
Epoch [127/200], Loss: 0.0357
Epoch [128/200], Loss: 0.0348
Epoch [129/200], Loss: 0.0329
Epoch [130/200], Loss: 0.0329
-- Evaluation after Epoch [130/200], Test Loss: 0.0822
Epoch [131/200], Loss: 0.0327
Epoch [132/200], Loss: 0.0322
Epoch [133/200], Loss: 0.0320
Epoch [134/200], Loss: 0.0313
Epoch [135/200], Loss: 0.0323
-- Evaluation after Epoch [135/200], Test Loss: 0.0727
Epoch [136/200], Loss: 0.0323
Epoch [137/200], Loss: 0.0328
Epoch [138/200], Loss: 0.0337
Epoch [139/200], Loss: 0.0344
Epoch [140/200], Loss: 0.0329
-- Evaluation after Epoch [140/200], Test Loss: 0.0766
Epoch [141/200], Loss: 0.0339
Epoch [142/200], Loss: 0.0334
Epoch [143/200], Loss: 0.0319
Epoch [144/200], Loss: 0.0326
Epoch [145/200], Loss: 0.0321
-- Evaluation after Epoch [145/200], Test Loss: 0.0781
Epoch [146/200], Loss: 0.0368
Epoch [147/200], Loss: 0.0317
Epoch [148/200], Loss: 0.0304
Epoch [149/200], Loss: 0.0303
Epoch [150/200], Loss: 0.0324
-- Evaluation after Epoch [150/200], Test Loss: 0.0647
Epoch [151/200], Loss: 0.0318
Epoch [152/200], Loss: 0.0325
Epoch [153/200], Loss: 0.0334
Epoch [154/200], Loss: 0.0330
Epoch [155/200], Loss: 0.0334
-- Evaluation after Epoch [155/200], Test Loss: 0.0650
