Epoch [1/200], Loss: 0.0822
Epoch [2/200], Loss: 0.0707
Epoch [3/200], Loss: 0.0690
Epoch [4/200], Loss: 0.0677
Epoch [5/200], Loss: 0.0667
-- Evaluation after Epoch [5/200], Test Loss: 0.0907
New best test loss: 0.0907. Saving model.
Epoch [6/200], Loss: 0.0660
Epoch [7/200], Loss: 0.0655
Epoch [8/200], Loss: 0.0652
Epoch [9/200], Loss: 0.0646
Epoch [10/200], Loss: 0.0642
-- Evaluation after Epoch [10/200], Test Loss: 0.0998
Epoch [11/200], Loss: 0.0639
Epoch [12/200], Loss: 0.0633
Epoch [13/200], Loss: 0.0626
Epoch [14/200], Loss: 0.0622
Epoch [15/200], Loss: 0.0622
-- Evaluation after Epoch [15/200], Test Loss: 0.1026
Epoch [16/200], Loss: 0.0616
Epoch [17/200], Loss: 0.0616
Epoch [18/200], Loss: 0.0608
Epoch [19/200], Loss: 0.0604
Epoch [20/200], Loss: 0.0605
-- Evaluation after Epoch [20/200], Test Loss: 0.1015
Epoch [21/200], Loss: 0.0603
Epoch [22/200], Loss: 0.0593
Epoch [23/200], Loss: 0.0585
Epoch [24/200], Loss: 0.0585
Epoch [25/200], Loss: 0.0576
-- Evaluation after Epoch [25/200], Test Loss: 0.1030
Epoch [26/200], Loss: 0.0580
Epoch [27/200], Loss: 0.0577
Epoch [28/200], Loss: 0.0569
Epoch [29/200], Loss: 0.0563
Epoch [30/200], Loss: 0.0557
-- Evaluation after Epoch [30/200], Test Loss: 0.0924
Epoch [31/200], Loss: 0.0553
Epoch [32/200], Loss: 0.0549
Epoch [33/200], Loss: 0.0548
Epoch [34/200], Loss: 0.0565
Epoch [35/200], Loss: 0.0554
-- Evaluation after Epoch [35/200], Test Loss: 0.0877
New best test loss: 0.0877. Saving model.
Epoch [36/200], Loss: 0.0540
Epoch [37/200], Loss: 0.0530
Epoch [38/200], Loss: 0.0537
Epoch [39/200], Loss: 0.0526
Epoch [40/200], Loss: 0.0539
-- Evaluation after Epoch [40/200], Test Loss: 0.0906
Epoch [41/200], Loss: 0.0524
