Epoch [1/200], Loss: 0.0887
Epoch [2/200], Loss: 0.0847
Epoch [3/200], Loss: 0.0838
Epoch [4/200], Loss: 0.0834
Epoch [5/200], Loss: 0.0832
-- Evaluation after Epoch [5/200], Test Loss: 0.0787
New best test loss: 0.0787. Saving model.
Epoch [6/200], Loss: 0.0829
Epoch [7/200], Loss: 0.0827
Epoch [8/200], Loss: 0.0825
Epoch [9/200], Loss: 0.0824
Epoch [10/200], Loss: 0.0823
-- Evaluation after Epoch [10/200], Test Loss: 0.0806
Epoch [11/200], Loss: 0.0822
Epoch [12/200], Loss: 0.0820
Epoch [13/200], Loss: 0.0820
Epoch [14/200], Loss: 0.0819
Epoch [15/200], Loss: 0.0818
-- Evaluation after Epoch [15/200], Test Loss: 0.0836
Epoch [16/200], Loss: 0.0818
Epoch [17/200], Loss: 0.0818
Epoch [18/200], Loss: 0.0818
Epoch [19/200], Loss: 0.0817
Epoch [20/200], Loss: 0.0817
-- Evaluation after Epoch [20/200], Test Loss: 0.0856
Epoch [21/200], Loss: 0.0817
Epoch [22/200], Loss: 0.0816
Epoch [23/200], Loss: 0.0816
Epoch [24/200], Loss: 0.0816
Epoch [25/200], Loss: 0.0816
-- Evaluation after Epoch [25/200], Test Loss: 0.0867
Epoch [26/200], Loss: 0.0815
Epoch [27/200], Loss: 0.0815
Epoch [28/200], Loss: 0.0815
Epoch [29/200], Loss: 0.0814
Epoch [30/200], Loss: 0.0803
-- Evaluation after Epoch [30/200], Test Loss: 0.0867
Epoch [31/200], Loss: 0.0697
Epoch [32/200], Loss: 0.0677
Epoch [33/200], Loss: 0.0668
Epoch [34/200], Loss: 0.0664
Epoch [35/200], Loss: 0.0656
-- Evaluation after Epoch [35/200], Test Loss: 0.0995
Epoch [36/200], Loss: 0.0651
Epoch [37/200], Loss: 0.0645
Epoch [38/200], Loss: 0.0642
Epoch [39/200], Loss: 0.0635
Epoch [40/200], Loss: 0.0635
-- Evaluation after Epoch [40/200], Test Loss: 0.0988
Epoch [41/200], Loss: 0.0631
Epoch [42/200], Loss: 0.0628
Epoch [43/200], Loss: 0.0627
Epoch [44/200], Loss: 0.0620
Epoch [45/200], Loss: 0.0620
-- Evaluation after Epoch [45/200], Test Loss: 0.0984
Epoch [46/200], Loss: 0.0622
Epoch [47/200], Loss: 0.0625
Epoch [48/200], Loss: 0.0607
Epoch [49/200], Loss: 0.0610
Epoch [50/200], Loss: 0.0598
-- Evaluation after Epoch [50/200], Test Loss: 0.1034
Epoch [51/200], Loss: 0.0602
Epoch [52/200], Loss: 0.0594
Epoch [53/200], Loss: 0.0591
