Epoch [1/200], Loss: 0.0832
Epoch [2/200], Loss: 0.0731
Epoch [3/200], Loss: 0.0706
Epoch [4/200], Loss: 0.0695
Epoch [5/200], Loss: 0.0688
-- Evaluation after Epoch [5/200], Test Loss: 0.1080
New best test loss: 0.1080. Saving model.
Epoch [6/200], Loss: 0.0684
Epoch [7/200], Loss: 0.0681
Epoch [8/200], Loss: 0.0673
Epoch [9/200], Loss: 0.0674
Epoch [10/200], Loss: 0.0661
-- Evaluation after Epoch [10/200], Test Loss: 0.1053
New best test loss: 0.1053. Saving model.
Epoch [11/200], Loss: 0.0658
Epoch [12/200], Loss: 0.0653
Epoch [13/200], Loss: 0.0641
Epoch [14/200], Loss: 0.0635
Epoch [15/200], Loss: 0.0638
-- Evaluation after Epoch [15/200], Test Loss: 0.1042
New best test loss: 0.1042. Saving model.
Epoch [16/200], Loss: 0.0628
Epoch [17/200], Loss: 0.0630
Epoch [18/200], Loss: 0.0629
Epoch [19/200], Loss: 0.0616
Epoch [20/200], Loss: 0.0620
-- Evaluation after Epoch [20/200], Test Loss: 0.1003
New best test loss: 0.1003. Saving model.
Epoch [21/200], Loss: 0.0609
Epoch [22/200], Loss: 0.0607
Epoch [23/200], Loss: 0.0608
Epoch [24/200], Loss: 0.0594
Epoch [25/200], Loss: 0.0596
-- Evaluation after Epoch [25/200], Test Loss: 0.0945
New best test loss: 0.0945. Saving model.
Epoch [26/200], Loss: 0.0588
Epoch [27/200], Loss: 0.0592
Epoch [28/200], Loss: 0.0581
Epoch [29/200], Loss: 0.0583
Epoch [30/200], Loss: 0.0581
-- Evaluation after Epoch [30/200], Test Loss: 0.0995
Epoch [31/200], Loss: 0.0576
Epoch [32/200], Loss: 0.0578
Epoch [33/200], Loss: 0.0566
Epoch [34/200], Loss: 0.0575
Epoch [35/200], Loss: 0.0566
-- Evaluation after Epoch [35/200], Test Loss: 0.0876
New best test loss: 0.0876. Saving model.
Epoch [36/200], Loss: 0.0566
Epoch [37/200], Loss: 0.0577
Epoch [38/200], Loss: 0.0558
Epoch [39/200], Loss: 0.0558
Epoch [40/200], Loss: 0.0542
-- Evaluation after Epoch [40/200], Test Loss: 0.0818
New best test loss: 0.0818. Saving model.
Epoch [41/200], Loss: 0.0549
Epoch [42/200], Loss: 0.0546
Epoch [43/200], Loss: 0.0557
Epoch [44/200], Loss: 0.0545
Epoch [45/200], Loss: 0.0526
-- Evaluation after Epoch [45/200], Test Loss: 0.0799
New best test loss: 0.0799. Saving model.
Epoch [46/200], Loss: 0.0530
Epoch [47/200], Loss: 0.0529
Epoch [48/200], Loss: 0.0519
Epoch [49/200], Loss: 0.0521
Epoch [50/200], Loss: 0.0517
-- Evaluation after Epoch [50/200], Test Loss: 0.0768
New best test loss: 0.0768. Saving model.
Epoch [51/200], Loss: 0.0507
Epoch [52/200], Loss: 0.0510
Epoch [53/200], Loss: 0.0505
Epoch [54/200], Loss: 0.0495
Epoch [55/200], Loss: 0.0500
-- Evaluation after Epoch [55/200], Test Loss: 0.0772
Epoch [56/200], Loss: 0.0499
Epoch [57/200], Loss: 0.0489
Epoch [58/200], Loss: 0.0494
Epoch [59/200], Loss: 0.0489
Epoch [60/200], Loss: 0.0482
-- Evaluation after Epoch [60/200], Test Loss: 0.0752
New best test loss: 0.0752. Saving model.
Epoch [61/200], Loss: 0.0477
Epoch [62/200], Loss: 0.0488
Epoch [63/200], Loss: 0.0474
Epoch [64/200], Loss: 0.0476
Epoch [65/200], Loss: 0.0481
-- Evaluation after Epoch [65/200], Test Loss: 0.0724
New best test loss: 0.0724. Saving model.
Epoch [66/200], Loss: 0.0471
Epoch [67/200], Loss: 0.0458
Epoch [68/200], Loss: 0.0458
Epoch [69/200], Loss: 0.0459
Epoch [70/200], Loss: 0.0450
-- Evaluation after Epoch [70/200], Test Loss: 0.0707
New best test loss: 0.0707. Saving model.
Epoch [71/200], Loss: 0.0451
Epoch [72/200], Loss: 0.0451
Epoch [73/200], Loss: 0.0439
Epoch [74/200], Loss: 0.0437
Epoch [75/200], Loss: 0.0436
-- Evaluation after Epoch [75/200], Test Loss: 0.0706
New best test loss: 0.0706. Saving model.
Epoch [76/200], Loss: 0.0440
Epoch [77/200], Loss: 0.0431
Epoch [78/200], Loss: 0.0424
Epoch [79/200], Loss: 0.0424
Epoch [80/200], Loss: 0.0424
-- Evaluation after Epoch [80/200], Test Loss: 0.0717
Epoch [81/200], Loss: 0.0422
Epoch [82/200], Loss: 0.0424
Epoch [83/200], Loss: 0.0408
Epoch [84/200], Loss: 0.0413
Epoch [85/200], Loss: 0.0425
-- Evaluation after Epoch [85/200], Test Loss: 0.0687
New best test loss: 0.0687. Saving model.
Epoch [86/200], Loss: 0.0414
Epoch [87/200], Loss: 0.0407
Epoch [88/200], Loss: 0.0395
Epoch [89/200], Loss: 0.0391
Epoch [90/200], Loss: 0.0406
-- Evaluation after Epoch [90/200], Test Loss: 0.0710
Epoch [91/200], Loss: 0.0395
Epoch [92/200], Loss: 0.0394
Epoch [93/200], Loss: 0.0395
Epoch [94/200], Loss: 0.0387
Epoch [95/200], Loss: 0.0379
-- Evaluation after Epoch [95/200], Test Loss: 0.0692
Epoch [96/200], Loss: 0.0379
Epoch [97/200], Loss: 0.0386
Epoch [98/200], Loss: 0.0441
Epoch [99/200], Loss: 0.0382
Epoch [100/200], Loss: 0.0373
-- Evaluation after Epoch [100/200], Test Loss: 0.0687
Epoch [101/200], Loss: 0.0377
Epoch [102/200], Loss: 0.0387
Epoch [103/200], Loss: 0.0389
Epoch [104/200], Loss: 0.0382
Epoch [105/200], Loss: 0.0374
-- Evaluation after Epoch [105/200], Test Loss: 0.0730
Epoch [106/200], Loss: 0.0363
Epoch [107/200], Loss: 0.0370
Epoch [108/200], Loss: 0.0362
Epoch [109/200], Loss: 0.0363
Epoch [110/200], Loss: 0.0375
-- Evaluation after Epoch [110/200], Test Loss: 0.0760
Epoch [111/200], Loss: 0.0365
Epoch [112/200], Loss: 0.0358
Epoch [113/200], Loss: 0.0375
Epoch [114/200], Loss: 0.0364
Epoch [115/200], Loss: 0.0360
-- Evaluation after Epoch [115/200], Test Loss: 0.0679
New best test loss: 0.0679. Saving model.
Epoch [116/200], Loss: 0.0368
Epoch [117/200], Loss: 0.0357
Epoch [118/200], Loss: 0.0358
Epoch [119/200], Loss: 0.0356
Epoch [120/200], Loss: 0.0366
-- Evaluation after Epoch [120/200], Test Loss: 0.0654
New best test loss: 0.0654. Saving model.
Epoch [121/200], Loss: 0.0359
Epoch [122/200], Loss: 0.0359
Epoch [123/200], Loss: 0.0364
Epoch [124/200], Loss: 0.0367
Epoch [125/200], Loss: 0.0359
