Epoch [1/200], Loss: 0.0815
Epoch [2/200], Loss: 0.0732
Epoch [3/200], Loss: 0.0710
Epoch [4/200], Loss: 0.0700
Epoch [5/200], Loss: 0.0690
-- Evaluation after Epoch [5/200], Test Loss: 0.1244
New best test loss: 0.1244. Saving model.
Epoch [6/200], Loss: 0.0688
Epoch [7/200], Loss: 0.0672
Epoch [8/200], Loss: 0.0673
Epoch [9/200], Loss: 0.0664
Epoch [10/200], Loss: 0.0658
-- Evaluation after Epoch [10/200], Test Loss: 0.1145
New best test loss: 0.1145. Saving model.
Epoch [11/200], Loss: 0.0651
Epoch [12/200], Loss: 0.0656
Epoch [13/200], Loss: 0.0648
Epoch [14/200], Loss: 0.0645
Epoch [15/200], Loss: 0.0644
-- Evaluation after Epoch [15/200], Test Loss: 0.1092
New best test loss: 0.1092. Saving model.
Epoch [16/200], Loss: 0.0642
Epoch [17/200], Loss: 0.0634
Epoch [18/200], Loss: 0.0634
Epoch [19/200], Loss: 0.0633
Epoch [20/200], Loss: 0.0629
-- Evaluation after Epoch [20/200], Test Loss: 0.1091
New best test loss: 0.1091. Saving model.
Epoch [21/200], Loss: 0.0625
Epoch [22/200], Loss: 0.0624
Epoch [23/200], Loss: 0.0619
Epoch [24/200], Loss: 0.0618
Epoch [25/200], Loss: 0.0612
-- Evaluation after Epoch [25/200], Test Loss: 0.1029
New best test loss: 0.1029. Saving model.
Epoch [26/200], Loss: 0.0611
Epoch [27/200], Loss: 0.0605
Epoch [28/200], Loss: 0.0600
Epoch [29/200], Loss: 0.0597
Epoch [30/200], Loss: 0.0590
-- Evaluation after Epoch [30/200], Test Loss: 0.1030
Epoch [31/200], Loss: 0.0589
Epoch [32/200], Loss: 0.0585
Epoch [33/200], Loss: 0.0580
Epoch [34/200], Loss: 0.0582
Epoch [35/200], Loss: 0.0569
-- Evaluation after Epoch [35/200], Test Loss: 0.0969
New best test loss: 0.0969. Saving model.
Epoch [36/200], Loss: 0.0570
Epoch [37/200], Loss: 0.0560
Epoch [38/200], Loss: 0.0555
Epoch [39/200], Loss: 0.0556
Epoch [40/200], Loss: 0.0551
-- Evaluation after Epoch [40/200], Test Loss: 0.1007
Epoch [41/200], Loss: 0.0544
Epoch [42/200], Loss: 0.0545
Epoch [43/200], Loss: 0.0538
Epoch [44/200], Loss: 0.0529
Epoch [45/200], Loss: 0.0540
-- Evaluation after Epoch [45/200], Test Loss: 0.1038
Epoch [46/200], Loss: 0.0529
Epoch [47/200], Loss: 0.0517
Epoch [48/200], Loss: 0.0511
Epoch [49/200], Loss: 0.0507
Epoch [50/200], Loss: 0.0504
-- Evaluation after Epoch [50/200], Test Loss: 0.0874
New best test loss: 0.0874. Saving model.
Epoch [51/200], Loss: 0.0504
Epoch [52/200], Loss: 0.0518
Epoch [53/200], Loss: 0.0509
Epoch [54/200], Loss: 0.0496
Epoch [55/200], Loss: 0.0491
-- Evaluation after Epoch [55/200], Test Loss: 0.0914
Epoch [56/200], Loss: 0.0489
Epoch [57/200], Loss: 0.0484
Epoch [58/200], Loss: 0.0470
Epoch [59/200], Loss: 0.0468
Epoch [60/200], Loss: 0.0459
