Epoch [1/200], Loss: 0.0863
Epoch [2/200], Loss: 0.0726
Epoch [3/200], Loss: 0.0718
Epoch [4/200], Loss: 0.0698
Epoch [5/200], Loss: 0.0686
-- Evaluation after Epoch [5/200], Test Loss: 0.1311
New best test loss: 0.1311. Saving model.
Epoch [6/200], Loss: 0.0685
Epoch [7/200], Loss: 0.0675
Epoch [8/200], Loss: 0.0673
Epoch [9/200], Loss: 0.0668
Epoch [10/200], Loss: 0.0666
-- Evaluation after Epoch [10/200], Test Loss: 0.1420
Epoch [11/200], Loss: 0.0662
Epoch [12/200], Loss: 0.0658
Epoch [13/200], Loss: 0.0654
Epoch [14/200], Loss: 0.0655
Epoch [15/200], Loss: 0.0644
-- Evaluation after Epoch [15/200], Test Loss: 0.1314
Epoch [16/200], Loss: 0.0641
Epoch [17/200], Loss: 0.0639
Epoch [18/200], Loss: 0.0631
Epoch [19/200], Loss: 0.0632
Epoch [20/200], Loss: 0.0626
-- Evaluation after Epoch [20/200], Test Loss: 0.1138
New best test loss: 0.1138. Saving model.
Epoch [21/200], Loss: 0.0618
Epoch [22/200], Loss: 0.0621
Epoch [23/200], Loss: 0.0613
Epoch [24/200], Loss: 0.0601
Epoch [25/200], Loss: 0.0603
-- Evaluation after Epoch [25/200], Test Loss: 0.0973
New best test loss: 0.0973. Saving model.
Epoch [26/200], Loss: 0.0602
Epoch [27/200], Loss: 0.0598
Epoch [28/200], Loss: 0.0592
Epoch [29/200], Loss: 0.0595
Epoch [30/200], Loss: 0.0592
-- Evaluation after Epoch [30/200], Test Loss: 0.1177
Epoch [31/200], Loss: 0.0580
Epoch [32/200], Loss: 0.0583
Epoch [33/200], Loss: 0.0577
Epoch [34/200], Loss: 0.0572
Epoch [35/200], Loss: 0.0570
-- Evaluation after Epoch [35/200], Test Loss: 0.1022
Epoch [36/200], Loss: 0.0571
Epoch [37/200], Loss: 0.0567
Epoch [38/200], Loss: 0.0566
Epoch [39/200], Loss: 0.0568
Epoch [40/200], Loss: 0.0548
-- Evaluation after Epoch [40/200], Test Loss: 0.0929
New best test loss: 0.0929. Saving model.
Epoch [41/200], Loss: 0.0546
Epoch [42/200], Loss: 0.0558
Epoch [43/200], Loss: 0.0540
Epoch [44/200], Loss: 0.0539
Epoch [45/200], Loss: 0.0526
-- Evaluation after Epoch [45/200], Test Loss: 0.0864
New best test loss: 0.0864. Saving model.
Epoch [46/200], Loss: 0.0549
Epoch [47/200], Loss: 0.0524
Epoch [48/200], Loss: 0.0535
Epoch [49/200], Loss: 0.0544
Epoch [50/200], Loss: 0.0517
-- Evaluation after Epoch [50/200], Test Loss: 0.0818
New best test loss: 0.0818. Saving model.
Epoch [51/200], Loss: 0.0515
Epoch [52/200], Loss: 0.0525
Epoch [53/200], Loss: 0.0514
Epoch [54/200], Loss: 0.0517
Epoch [55/200], Loss: 0.0502
-- Evaluation after Epoch [55/200], Test Loss: 0.0767
New best test loss: 0.0767. Saving model.
Epoch [56/200], Loss: 0.0501
Epoch [57/200], Loss: 0.0495
Epoch [58/200], Loss: 0.0501
Epoch [59/200], Loss: 0.0492
Epoch [60/200], Loss: 0.0504
-- Evaluation after Epoch [60/200], Test Loss: 0.0646
New best test loss: 0.0646. Saving model.
Epoch [61/200], Loss: 0.0487
Epoch [62/200], Loss: 0.0478
Epoch [63/200], Loss: 0.0468
Epoch [64/200], Loss: 0.0471
Epoch [65/200], Loss: 0.0462
-- Evaluation after Epoch [65/200], Test Loss: 0.0665
Epoch [66/200], Loss: 0.0478
Epoch [67/200], Loss: 0.0458
Epoch [68/200], Loss: 0.0460
Epoch [69/200], Loss: 0.0462
Epoch [70/200], Loss: 0.0455
-- Evaluation after Epoch [70/200], Test Loss: 0.0656
Epoch [71/200], Loss: 0.0458
Epoch [72/200], Loss: 0.0442
Epoch [73/200], Loss: 0.0441
Epoch [74/200], Loss: 0.0447
Epoch [75/200], Loss: 0.0444
-- Evaluation after Epoch [75/200], Test Loss: 0.0682
Epoch [76/200], Loss: 0.0434
Epoch [77/200], Loss: 0.0437
Epoch [78/200], Loss: 0.0430
