Epoch [1/200], Loss: 0.0794
Epoch [2/200], Loss: 0.0669
Epoch [3/200], Loss: 0.0659
Epoch [4/200], Loss: 0.0672
Epoch [5/200], Loss: 0.0641
-- Evaluation after Epoch [5/200], Test Loss: 0.0723
New best test loss: 0.0723. Saving model.
Epoch [6/200], Loss: 0.0637
Epoch [7/200], Loss: 0.0627
Epoch [8/200], Loss: 0.0614
Epoch [9/200], Loss: 0.0607
Epoch [10/200], Loss: 0.0596
-- Evaluation after Epoch [10/200], Test Loss: 0.0718
New best test loss: 0.0718. Saving model.
Epoch [11/200], Loss: 0.0586
Epoch [12/200], Loss: 0.0587
Epoch [13/200], Loss: 0.0585
Epoch [14/200], Loss: 0.0588
Epoch [15/200], Loss: 0.0576
-- Evaluation after Epoch [15/200], Test Loss: 0.0670
New best test loss: 0.0670. Saving model.
Epoch [16/200], Loss: 0.0571
Epoch [17/200], Loss: 0.0573
Epoch [18/200], Loss: 0.0584
Epoch [19/200], Loss: 0.0571
Epoch [20/200], Loss: 0.0568
-- Evaluation after Epoch [20/200], Test Loss: 0.0672
Epoch [21/200], Loss: 0.0567
Epoch [22/200], Loss: 0.0563
Epoch [23/200], Loss: 0.0560
Epoch [24/200], Loss: 0.0558
Epoch [25/200], Loss: 0.0554
-- Evaluation after Epoch [25/200], Test Loss: 0.0612
New best test loss: 0.0612. Saving model.
Epoch [26/200], Loss: 0.0555
Epoch [27/200], Loss: 0.0548
Epoch [28/200], Loss: 0.0544
Epoch [29/200], Loss: 0.0542
Epoch [30/200], Loss: 0.0537
-- Evaluation after Epoch [30/200], Test Loss: 0.0580
New best test loss: 0.0580. Saving model.
Epoch [31/200], Loss: 0.0541
Epoch [32/200], Loss: 0.0538
Epoch [33/200], Loss: 0.0562
Epoch [34/200], Loss: 0.0541
Epoch [35/200], Loss: 0.0544
-- Evaluation after Epoch [35/200], Test Loss: 0.0575
New best test loss: 0.0575. Saving model.
Epoch [36/200], Loss: 0.0527
Epoch [37/200], Loss: 0.0526
Epoch [38/200], Loss: 0.0527
Epoch [39/200], Loss: 0.0529
Epoch [40/200], Loss: 0.0509
-- Evaluation after Epoch [40/200], Test Loss: 0.0568
New best test loss: 0.0568. Saving model.
Epoch [41/200], Loss: 0.0521
Epoch [42/200], Loss: 0.0515
Epoch [43/200], Loss: 0.0513
Epoch [44/200], Loss: 0.0508
Epoch [45/200], Loss: 0.0506
-- Evaluation after Epoch [45/200], Test Loss: 0.0593
Epoch [46/200], Loss: 0.0511
Epoch [47/200], Loss: 0.0498
Epoch [48/200], Loss: 0.0493
Epoch [49/200], Loss: 0.0491
Epoch [50/200], Loss: 0.0489
-- Evaluation after Epoch [50/200], Test Loss: 0.0597
Epoch [51/200], Loss: 0.0491
Epoch [52/200], Loss: 0.0488
Epoch [53/200], Loss: 0.0511
Epoch [54/200], Loss: 0.0488
Epoch [55/200], Loss: 0.0484
-- Evaluation after Epoch [55/200], Test Loss: 0.0593
Epoch [56/200], Loss: 0.0478
Epoch [57/200], Loss: 0.0476
Epoch [58/200], Loss: 0.0472
Epoch [59/200], Loss: 0.0460
Epoch [60/200], Loss: 0.0480
-- Evaluation after Epoch [60/200], Test Loss: 0.0587
Epoch [61/200], Loss: 0.0470
Epoch [62/200], Loss: 0.0465
Epoch [63/200], Loss: 0.0449
Epoch [64/200], Loss: 0.0469
Epoch [65/200], Loss: 0.0446
-- Evaluation after Epoch [65/200], Test Loss: 0.0597
Epoch [66/200], Loss: 0.0438
Epoch [67/200], Loss: 0.0445
Epoch [68/200], Loss: 0.0441
Epoch [69/200], Loss: 0.0433
Epoch [70/200], Loss: 0.0438
-- Evaluation after Epoch [70/200], Test Loss: 0.0567
New best test loss: 0.0567. Saving model.
Epoch [71/200], Loss: 0.0441
Epoch [72/200], Loss: 0.0436
Epoch [73/200], Loss: 0.0425
Epoch [74/200], Loss: 0.0438
Epoch [75/200], Loss: 0.0420
-- Evaluation after Epoch [75/200], Test Loss: 0.0586
Epoch [76/200], Loss: 0.0414
Epoch [77/200], Loss: 0.0423
Epoch [78/200], Loss: 0.0418
Epoch [79/200], Loss: 0.0427
Epoch [80/200], Loss: 0.0417
-- Evaluation after Epoch [80/200], Test Loss: 0.0560
New best test loss: 0.0560. Saving model.
Epoch [81/200], Loss: 0.0438
Epoch [82/200], Loss: 0.0401
Epoch [83/200], Loss: 0.0396
Epoch [84/200], Loss: 0.0393
Epoch [85/200], Loss: 0.0395
-- Evaluation after Epoch [85/200], Test Loss: 0.0643
Epoch [86/200], Loss: 0.0388
Epoch [87/200], Loss: 0.0402
Epoch [88/200], Loss: 0.0392
Epoch [89/200], Loss: 0.0398
Epoch [90/200], Loss: 0.0394
-- Evaluation after Epoch [90/200], Test Loss: 0.0563
Epoch [91/200], Loss: 0.0376
Epoch [92/200], Loss: 0.0366
Epoch [93/200], Loss: 0.0364
Epoch [94/200], Loss: 0.0382
Epoch [95/200], Loss: 0.0384
-- Evaluation after Epoch [95/200], Test Loss: 0.0628
Epoch [96/200], Loss: 0.0372
Epoch [97/200], Loss: 0.0379
Epoch [98/200], Loss: 0.0374
Epoch [99/200], Loss: 0.0362
