Epoch [1/200], Loss: 0.0774
Epoch [2/200], Loss: 0.0675
Epoch [3/200], Loss: 0.0665
Epoch [4/200], Loss: 0.0669
Epoch [5/200], Loss: 0.0657
-- Evaluation after Epoch [5/200], Test Loss: 0.0743
New best test loss: 0.0743. Saving model.
Epoch [6/200], Loss: 0.0635
Epoch [7/200], Loss: 0.0631
Epoch [8/200], Loss: 0.0618
Epoch [9/200], Loss: 0.0612
Epoch [10/200], Loss: 0.0604
-- Evaluation after Epoch [10/200], Test Loss: 0.0691
New best test loss: 0.0691. Saving model.
Epoch [11/200], Loss: 0.0591
Epoch [12/200], Loss: 0.0583
Epoch [13/200], Loss: 0.0597
Epoch [14/200], Loss: 0.0584
Epoch [15/200], Loss: 0.0581
-- Evaluation after Epoch [15/200], Test Loss: 0.0712
Epoch [16/200], Loss: 0.0575
Epoch [17/200], Loss: 0.0580
Epoch [18/200], Loss: 0.0576
Epoch [19/200], Loss: 0.0576
Epoch [20/200], Loss: 0.0572
-- Evaluation after Epoch [20/200], Test Loss: 0.0706
Epoch [21/200], Loss: 0.0567
Epoch [22/200], Loss: 0.0560
Epoch [23/200], Loss: 0.0558
Epoch [24/200], Loss: 0.0557
Epoch [25/200], Loss: 0.0554
-- Evaluation after Epoch [25/200], Test Loss: 0.0609
New best test loss: 0.0609. Saving model.
Epoch [26/200], Loss: 0.0542
Epoch [27/200], Loss: 0.0534
Epoch [28/200], Loss: 0.0538
Epoch [29/200], Loss: 0.0551
Epoch [30/200], Loss: 0.0535
-- Evaluation after Epoch [30/200], Test Loss: 0.0567
New best test loss: 0.0567. Saving model.
Epoch [31/200], Loss: 0.0547
Epoch [32/200], Loss: 0.0530
Epoch [33/200], Loss: 0.0518
Epoch [34/200], Loss: 0.0512
Epoch [35/200], Loss: 0.0520
-- Evaluation after Epoch [35/200], Test Loss: 0.0610
Epoch [36/200], Loss: 0.0510
Epoch [37/200], Loss: 0.0505
Epoch [38/200], Loss: 0.0501
Epoch [39/200], Loss: 0.0506
Epoch [40/200], Loss: 0.0500
-- Evaluation after Epoch [40/200], Test Loss: 0.0607
Epoch [41/200], Loss: 0.0504
Epoch [42/200], Loss: 0.0523
Epoch [43/200], Loss: 0.0524
Epoch [44/200], Loss: 0.0503
Epoch [45/200], Loss: 0.0495
-- Evaluation after Epoch [45/200], Test Loss: 0.0566
New best test loss: 0.0566. Saving model.
Epoch [46/200], Loss: 0.0508
Epoch [47/200], Loss: 0.0511
Epoch [48/200], Loss: 0.0487
Epoch [49/200], Loss: 0.0483
Epoch [50/200], Loss: 0.0491
-- Evaluation after Epoch [50/200], Test Loss: 0.0638
Epoch [51/200], Loss: 0.0484
Epoch [52/200], Loss: 0.0475
