Epoch [1/200], Loss: 0.0963
Epoch [2/200], Loss: 0.0853
Epoch [3/200], Loss: 0.0843
Epoch [4/200], Loss: 0.0839
Epoch [5/200], Loss: 0.0835
-- Evaluation after Epoch [5/200], Test Loss: 0.0744
New best test loss: 0.0744. Saving model.
Epoch [6/200], Loss: 0.0813
Epoch [7/200], Loss: 0.0696
Epoch [8/200], Loss: 0.0662
Epoch [9/200], Loss: 0.0648
Epoch [10/200], Loss: 0.0635
-- Evaluation after Epoch [10/200], Test Loss: 0.0609
New best test loss: 0.0609. Saving model.
Epoch [11/200], Loss: 0.0636
Epoch [12/200], Loss: 0.0630
Epoch [13/200], Loss: 0.0626
Epoch [14/200], Loss: 0.0618
Epoch [15/200], Loss: 0.0614
-- Evaluation after Epoch [15/200], Test Loss: 0.0601
New best test loss: 0.0601. Saving model.
Epoch [16/200], Loss: 0.0607
Epoch [17/200], Loss: 0.0602
Epoch [18/200], Loss: 0.0598
Epoch [19/200], Loss: 0.0597
Epoch [20/200], Loss: 0.0592
-- Evaluation after Epoch [20/200], Test Loss: 0.0578
New best test loss: 0.0578. Saving model.
Epoch [21/200], Loss: 0.0588
Epoch [22/200], Loss: 0.0584
Epoch [23/200], Loss: 0.0581
Epoch [24/200], Loss: 0.0574
Epoch [25/200], Loss: 0.0566
-- Evaluation after Epoch [25/200], Test Loss: 0.0594
Epoch [26/200], Loss: 0.0572
Epoch [27/200], Loss: 0.0565
Epoch [28/200], Loss: 0.0555
Epoch [29/200], Loss: 0.0551
Epoch [30/200], Loss: 0.0569
-- Evaluation after Epoch [30/200], Test Loss: 0.0609
Epoch [31/200], Loss: 0.0555
Epoch [32/200], Loss: 0.0547
Epoch [33/200], Loss: 0.0546
Epoch [34/200], Loss: 0.0546
Epoch [35/200], Loss: 0.0533
-- Evaluation after Epoch [35/200], Test Loss: 0.0606
Epoch [36/200], Loss: 0.0526
Epoch [37/200], Loss: 0.0526
Epoch [38/200], Loss: 0.0541
Epoch [39/200], Loss: 0.0532
Epoch [40/200], Loss: 0.0521
-- Evaluation after Epoch [40/200], Test Loss: 0.0608
Epoch [41/200], Loss: 0.0516
Epoch [42/200], Loss: 0.0517
Epoch [43/200], Loss: 0.0515
Epoch [44/200], Loss: 0.0501
Epoch [45/200], Loss: 0.0508
-- Evaluation after Epoch [45/200], Test Loss: 0.0606
Epoch [46/200], Loss: 0.0497
Epoch [47/200], Loss: 0.0495
Epoch [48/200], Loss: 0.0485
Epoch [49/200], Loss: 0.0482
Epoch [50/200], Loss: 0.0477
-- Evaluation after Epoch [50/200], Test Loss: 0.0608
Epoch [51/200], Loss: 0.0477
Epoch [52/200], Loss: 0.0472
Epoch [53/200], Loss: 0.0464
Epoch [54/200], Loss: 0.0467
Epoch [55/200], Loss: 0.0474
-- Evaluation after Epoch [55/200], Test Loss: 0.0635
Epoch [56/200], Loss: 0.0455
Epoch [57/200], Loss: 0.0465
Epoch [58/200], Loss: 0.0463
Epoch [59/200], Loss: 0.0455
Epoch [60/200], Loss: 0.0454
-- Evaluation after Epoch [60/200], Test Loss: 0.0685
Epoch [61/200], Loss: 0.0450
Epoch [62/200], Loss: 0.0441
Epoch [63/200], Loss: 0.0434
Epoch [64/200], Loss: 0.0426
Epoch [65/200], Loss: 0.0441
-- Evaluation after Epoch [65/200], Test Loss: 0.0677
Epoch [66/200], Loss: 0.0443
Epoch [67/200], Loss: 0.0431
Epoch [68/200], Loss: 0.0427
Epoch [69/200], Loss: 0.0423
Epoch [70/200], Loss: 0.0420
-- Evaluation after Epoch [70/200], Test Loss: 0.0586
Epoch [71/200], Loss: 0.0430
Epoch [72/200], Loss: 0.0414
Epoch [73/200], Loss: 0.0399
Epoch [74/200], Loss: 0.0398
Epoch [75/200], Loss: 0.0397
-- Evaluation after Epoch [75/200], Test Loss: 0.0608
