Epoch [1/200], Loss: 0.0835
Epoch [2/200], Loss: 0.0741
Epoch [3/200], Loss: 0.0717
Epoch [4/200], Loss: 0.0704
Epoch [5/200], Loss: 0.0696
-- Evaluation after Epoch [5/200], Test Loss: 0.0665
New best test loss: 0.0665. Saving model.
Epoch [6/200], Loss: 0.0677
Epoch [7/200], Loss: 0.0664
Epoch [8/200], Loss: 0.0659
Epoch [9/200], Loss: 0.0662
Epoch [10/200], Loss: 0.0655
-- Evaluation after Epoch [10/200], Test Loss: 0.0707
Epoch [11/200], Loss: 0.0625
Epoch [12/200], Loss: 0.0619
Epoch [13/200], Loss: 0.0611
Epoch [14/200], Loss: 0.0607
Epoch [15/200], Loss: 0.0614
-- Evaluation after Epoch [15/200], Test Loss: 0.0580
New best test loss: 0.0580. Saving model.
Epoch [16/200], Loss: 0.0604
Epoch [17/200], Loss: 0.0600
Epoch [18/200], Loss: 0.0603
Epoch [19/200], Loss: 0.0593
Epoch [20/200], Loss: 0.0598
-- Evaluation after Epoch [20/200], Test Loss: 0.0523
New best test loss: 0.0523. Saving model.
Epoch [21/200], Loss: 0.0607
Epoch [22/200], Loss: 0.0600
Epoch [23/200], Loss: 0.0581
Epoch [24/200], Loss: 0.0582
Epoch [25/200], Loss: 0.0604
-- Evaluation after Epoch [25/200], Test Loss: 0.0585
Epoch [26/200], Loss: 0.0573
Epoch [27/200], Loss: 0.0575
Epoch [28/200], Loss: 0.0602
Epoch [29/200], Loss: 0.0587
Epoch [30/200], Loss: 0.0578
-- Evaluation after Epoch [30/200], Test Loss: 0.0559
Epoch [31/200], Loss: 0.0559
Epoch [32/200], Loss: 0.0565
Epoch [33/200], Loss: 0.0549
Epoch [34/200], Loss: 0.0551
Epoch [35/200], Loss: 0.0556
-- Evaluation after Epoch [35/200], Test Loss: 0.0534
Epoch [36/200], Loss: 0.0554
Epoch [37/200], Loss: 0.0550
Epoch [38/200], Loss: 0.0538
Epoch [39/200], Loss: 0.0542
Epoch [40/200], Loss: 0.0529
-- Evaluation after Epoch [40/200], Test Loss: 0.0612
Epoch [41/200], Loss: 0.0529
Epoch [42/200], Loss: 0.0531
Epoch [43/200], Loss: 0.0528
Epoch [44/200], Loss: 0.0534
Epoch [45/200], Loss: 0.0524
-- Evaluation after Epoch [45/200], Test Loss: 0.0725
Epoch [46/200], Loss: 0.0532
Epoch [47/200], Loss: 0.0544
Epoch [48/200], Loss: 0.0526
Epoch [49/200], Loss: 0.0516
Epoch [50/200], Loss: 0.0511
-- Evaluation after Epoch [50/200], Test Loss: 0.0693
Epoch [51/200], Loss: 0.0507
Epoch [52/200], Loss: 0.0511
Epoch [53/200], Loss: 0.0540
Epoch [54/200], Loss: 0.0535
Epoch [55/200], Loss: 0.0514
-- Evaluation after Epoch [55/200], Test Loss: 0.0533
Epoch [56/200], Loss: 0.0494
Epoch [57/200], Loss: 0.0488
Epoch [58/200], Loss: 0.0478
Epoch [59/200], Loss: 0.0468
Epoch [60/200], Loss: 0.0462
-- Evaluation after Epoch [60/200], Test Loss: 0.0556
Epoch [61/200], Loss: 0.0466
Epoch [62/200], Loss: 0.0452
Epoch [63/200], Loss: 0.0456
Epoch [64/200], Loss: 0.0452
Epoch [65/200], Loss: 0.0443
-- Evaluation after Epoch [65/200], Test Loss: 0.0543
Epoch [66/200], Loss: 0.0447
Epoch [67/200], Loss: 0.0466
Epoch [68/200], Loss: 0.0443
Epoch [69/200], Loss: 0.0438
Epoch [70/200], Loss: 0.0431
-- Evaluation after Epoch [70/200], Test Loss: 0.0627
Epoch [71/200], Loss: 0.0431
Epoch [72/200], Loss: 0.0421
Epoch [73/200], Loss: 0.0446
Epoch [74/200], Loss: 0.0429
Epoch [75/200], Loss: 0.0415
-- Evaluation after Epoch [75/200], Test Loss: 0.0550
Epoch [76/200], Loss: 0.0406
Epoch [77/200], Loss: 0.0426
