Epoch [1/200], Loss: 0.0944
Epoch [2/200], Loss: 0.0849
Epoch [3/200], Loss: 0.0785
Epoch [4/200], Loss: 0.0754
Epoch [5/200], Loss: 0.0747
-- Evaluation after Epoch [5/200], Test Loss: 0.1134
New best test loss: 0.1134. Saving model.
Epoch [6/200], Loss: 0.0748
Epoch [7/200], Loss: 0.0753
Epoch [8/200], Loss: 0.0734
Epoch [9/200], Loss: 0.0732
Epoch [10/200], Loss: 0.0730
-- Evaluation after Epoch [10/200], Test Loss: 0.1239
Epoch [11/200], Loss: 0.0726
Epoch [12/200], Loss: 0.0723
Epoch [13/200], Loss: 0.0724
Epoch [14/200], Loss: 0.0714
Epoch [15/200], Loss: 0.0709
-- Evaluation after Epoch [15/200], Test Loss: 0.1256
Epoch [16/200], Loss: 0.0709
Epoch [17/200], Loss: 0.0704
Epoch [18/200], Loss: 0.0700
Epoch [19/200], Loss: 0.0697
Epoch [20/200], Loss: 0.0694
-- Evaluation after Epoch [20/200], Test Loss: 0.1154
Epoch [21/200], Loss: 0.0693
Epoch [22/200], Loss: 0.0690
Epoch [23/200], Loss: 0.0691
Epoch [24/200], Loss: 0.0684
Epoch [25/200], Loss: 0.0680
-- Evaluation after Epoch [25/200], Test Loss: 0.1081
New best test loss: 0.1081. Saving model.
Epoch [26/200], Loss: 0.0680
Epoch [27/200], Loss: 0.0677
Epoch [28/200], Loss: 0.0674
Epoch [29/200], Loss: 0.0674
Epoch [30/200], Loss: 0.0668
-- Evaluation after Epoch [30/200], Test Loss: 0.1069
New best test loss: 0.1069. Saving model.
Epoch [31/200], Loss: 0.0666
Epoch [32/200], Loss: 0.0667
Epoch [33/200], Loss: 0.0663
Epoch [34/200], Loss: 0.0657
Epoch [35/200], Loss: 0.0657
-- Evaluation after Epoch [35/200], Test Loss: 0.1126
Epoch [36/200], Loss: 0.0661
Epoch [37/200], Loss: 0.0656
Epoch [38/200], Loss: 0.0824
Epoch [39/200], Loss: 0.0793
Epoch [40/200], Loss: 0.0734
-- Evaluation after Epoch [40/200], Test Loss: 0.0955
New best test loss: 0.0955. Saving model.
Epoch [41/200], Loss: 0.0724
Epoch [42/200], Loss: 0.0716
Epoch [43/200], Loss: 0.0708
Epoch [44/200], Loss: 0.0704
Epoch [45/200], Loss: 0.0705
-- Evaluation after Epoch [45/200], Test Loss: 0.1155
Epoch [46/200], Loss: 0.0696
Epoch [47/200], Loss: 0.0703
Epoch [48/200], Loss: 0.0693
Epoch [49/200], Loss: 0.0685
Epoch [50/200], Loss: 0.0668
-- Evaluation after Epoch [50/200], Test Loss: 0.0887
New best test loss: 0.0887. Saving model.
Epoch [51/200], Loss: 0.0665
Epoch [52/200], Loss: 0.0662
Epoch [53/200], Loss: 0.0649
Epoch [54/200], Loss: 0.0641
Epoch [55/200], Loss: 0.0656
