Epoch [1/200], Loss: 0.1030
Epoch [2/200], Loss: 0.0894
Epoch [3/200], Loss: 0.0884
Epoch [4/200], Loss: 0.0880
Epoch [5/200], Loss: 0.0877
-- Evaluation after Epoch [5/200], Test Loss: 0.0979
New best test loss: 0.0979. Saving model.
Epoch [6/200], Loss: 0.0876
Epoch [7/200], Loss: 0.0875
Epoch [8/200], Loss: 0.0874
Epoch [9/200], Loss: 0.0872
Epoch [10/200], Loss: 0.0869
-- Evaluation after Epoch [10/200], Test Loss: 0.0943
New best test loss: 0.0943. Saving model.
Epoch [11/200], Loss: 0.0812
Epoch [12/200], Loss: 0.0714
Epoch [13/200], Loss: 0.0694
Epoch [14/200], Loss: 0.0685
Epoch [15/200], Loss: 0.0681
-- Evaluation after Epoch [15/200], Test Loss: 0.1091
Epoch [16/200], Loss: 0.0675
Epoch [17/200], Loss: 0.0668
Epoch [18/200], Loss: 0.0666
Epoch [19/200], Loss: 0.0657
Epoch [20/200], Loss: 0.0648
-- Evaluation after Epoch [20/200], Test Loss: 0.1019
Epoch [21/200], Loss: 0.0642
Epoch [22/200], Loss: 0.0636
Epoch [23/200], Loss: 0.0628
Epoch [24/200], Loss: 0.0627
Epoch [25/200], Loss: 0.0623
-- Evaluation after Epoch [25/200], Test Loss: 0.0869
New best test loss: 0.0869. Saving model.
Epoch [26/200], Loss: 0.0613
Epoch [27/200], Loss: 0.0613
Epoch [28/200], Loss: 0.0602
Epoch [29/200], Loss: 0.0608
Epoch [30/200], Loss: 0.0610
-- Evaluation after Epoch [30/200], Test Loss: 0.0893
Epoch [31/200], Loss: 0.0598
Epoch [32/200], Loss: 0.0599
Epoch [33/200], Loss: 0.0596
Epoch [34/200], Loss: 0.0585
Epoch [35/200], Loss: 0.0579
-- Evaluation after Epoch [35/200], Test Loss: 0.0835
New best test loss: 0.0835. Saving model.
Epoch [36/200], Loss: 0.0577
Epoch [37/200], Loss: 0.0632
Epoch [38/200], Loss: 0.0595
Epoch [39/200], Loss: 0.0586
Epoch [40/200], Loss: 0.0593
-- Evaluation after Epoch [40/200], Test Loss: 0.0685
New best test loss: 0.0685. Saving model.
Epoch [41/200], Loss: 0.0587
Epoch [42/200], Loss: 0.0589
Epoch [43/200], Loss: 0.0576
Epoch [44/200], Loss: 0.0567
Epoch [45/200], Loss: 0.0581
-- Evaluation after Epoch [45/200], Test Loss: 0.0880
Epoch [46/200], Loss: 0.0568
Epoch [47/200], Loss: 0.0574
Epoch [48/200], Loss: 0.0552
Epoch [49/200], Loss: 0.0551
Epoch [50/200], Loss: 0.0539
-- Evaluation after Epoch [50/200], Test Loss: 0.0674
New best test loss: 0.0674. Saving model.
Epoch [51/200], Loss: 0.0565
Epoch [52/200], Loss: 0.0540
Epoch [53/200], Loss: 0.0552
Epoch [54/200], Loss: 0.0538
Epoch [55/200], Loss: 0.0535
-- Evaluation after Epoch [55/200], Test Loss: 0.0698
Epoch [56/200], Loss: 0.0536
Epoch [57/200], Loss: 0.0521
Epoch [58/200], Loss: 0.0514
Epoch [59/200], Loss: 0.0504
Epoch [60/200], Loss: 0.0508
-- Evaluation after Epoch [60/200], Test Loss: 0.0717
Epoch [61/200], Loss: 0.0499
Epoch [62/200], Loss: 0.0501
Epoch [63/200], Loss: 0.0499
Epoch [64/200], Loss: 0.0490
Epoch [65/200], Loss: 0.0500
-- Evaluation after Epoch [65/200], Test Loss: 0.0703
Epoch [66/200], Loss: 0.0496
Epoch [67/200], Loss: 0.0499
Epoch [68/200], Loss: 0.0499
Epoch [69/200], Loss: 0.0475
Epoch [70/200], Loss: 0.0475
-- Evaluation after Epoch [70/200], Test Loss: 0.0837
Epoch [71/200], Loss: 0.0470
Epoch [72/200], Loss: 0.0487
Epoch [73/200], Loss: 0.0493
Epoch [74/200], Loss: 0.0468
Epoch [75/200], Loss: 0.0475
-- Evaluation after Epoch [75/200], Test Loss: 0.0704
Epoch [76/200], Loss: 0.0470
Epoch [77/200], Loss: 0.0488
Epoch [78/200], Loss: 0.0473
Epoch [79/200], Loss: 0.0479
Epoch [80/200], Loss: 0.0451
-- Evaluation after Epoch [80/200], Test Loss: 0.0758
Epoch [81/200], Loss: 0.0454
Epoch [82/200], Loss: 0.0460
Epoch [83/200], Loss: 0.0449
Epoch [84/200], Loss: 0.0457
Epoch [85/200], Loss: 0.0453
-- Evaluation after Epoch [85/200], Test Loss: 0.0808
Epoch [86/200], Loss: 0.0428
Epoch [87/200], Loss: 0.0430
Epoch [88/200], Loss: 0.0421
Epoch [89/200], Loss: 0.0439
Epoch [90/200], Loss: 0.0504
-- Evaluation after Epoch [90/200], Test Loss: 0.0856
Epoch [91/200], Loss: 0.0450
Epoch [92/200], Loss: 0.0422
Epoch [93/200], Loss: 0.0414
Epoch [94/200], Loss: 0.0415
Epoch [95/200], Loss: 0.0419
