Epoch [1/200], Loss: 0.0817
Epoch [2/200], Loss: 0.0738
Epoch [3/200], Loss: 0.0722
Epoch [4/200], Loss: 0.0715
Epoch [5/200], Loss: 0.0705
-- Evaluation after Epoch [5/200], Test Loss: 0.0629
New best test loss: 0.0629. Saving model.
Epoch [6/200], Loss: 0.0698
Epoch [7/200], Loss: 0.0690
Epoch [8/200], Loss: 0.0673
Epoch [9/200], Loss: 0.0658
Epoch [10/200], Loss: 0.0641
-- Evaluation after Epoch [10/200], Test Loss: 0.0830
Epoch [11/200], Loss: 0.0640
Epoch [12/200], Loss: 0.0629
Epoch [13/200], Loss: 0.0625
Epoch [14/200], Loss: 0.0617
Epoch [15/200], Loss: 0.0618
-- Evaluation after Epoch [15/200], Test Loss: 0.0684
Epoch [16/200], Loss: 0.0597
Epoch [17/200], Loss: 0.0604
Epoch [18/200], Loss: 0.0608
Epoch [19/200], Loss: 0.0605
Epoch [20/200], Loss: 0.0594
-- Evaluation after Epoch [20/200], Test Loss: 0.0523
New best test loss: 0.0523. Saving model.
Epoch [21/200], Loss: 0.0610
Epoch [22/200], Loss: 0.0590
Epoch [23/200], Loss: 0.0602
Epoch [24/200], Loss: 0.0595
Epoch [25/200], Loss: 0.0582
-- Evaluation after Epoch [25/200], Test Loss: 0.0520
New best test loss: 0.0520. Saving model.
Epoch [26/200], Loss: 0.0576
Epoch [27/200], Loss: 0.0574
Epoch [28/200], Loss: 0.0588
Epoch [29/200], Loss: 0.0610
Epoch [30/200], Loss: 0.0582
-- Evaluation after Epoch [30/200], Test Loss: 0.0505
New best test loss: 0.0505. Saving model.
Epoch [31/200], Loss: 0.0576
Epoch [32/200], Loss: 0.0570
Epoch [33/200], Loss: 0.0567
Epoch [34/200], Loss: 0.0562
Epoch [35/200], Loss: 0.0550
-- Evaluation after Epoch [35/200], Test Loss: 0.0559
Epoch [36/200], Loss: 0.0550
Epoch [37/200], Loss: 0.0576
Epoch [38/200], Loss: 0.0566
Epoch [39/200], Loss: 0.0555
Epoch [40/200], Loss: 0.0549
-- Evaluation after Epoch [40/200], Test Loss: 0.0546
Epoch [41/200], Loss: 0.0549
Epoch [42/200], Loss: 0.0532
Epoch [43/200], Loss: 0.0545
Epoch [44/200], Loss: 0.0553
Epoch [45/200], Loss: 0.0530
-- Evaluation after Epoch [45/200], Test Loss: 0.0583
Epoch [46/200], Loss: 0.0542
Epoch [47/200], Loss: 0.0517
Epoch [48/200], Loss: 0.0511
Epoch [49/200], Loss: 0.0533
Epoch [50/200], Loss: 0.0529
-- Evaluation after Epoch [50/200], Test Loss: 0.0631
Epoch [51/200], Loss: 0.0522
Epoch [52/200], Loss: 0.0510
Epoch [53/200], Loss: 0.0523
Epoch [54/200], Loss: 0.0501
Epoch [55/200], Loss: 0.0488
-- Evaluation after Epoch [55/200], Test Loss: 0.0576
Epoch [56/200], Loss: 0.0511
Epoch [57/200], Loss: 0.0491
Epoch [58/200], Loss: 0.0477
Epoch [59/200], Loss: 0.0500
Epoch [60/200], Loss: 0.0515
-- Evaluation after Epoch [60/200], Test Loss: 0.0633
Epoch [61/200], Loss: 0.0478
Epoch [62/200], Loss: 0.0473
Epoch [63/200], Loss: 0.0463
Epoch [64/200], Loss: 0.0479
Epoch [65/200], Loss: 0.0455
-- Evaluation after Epoch [65/200], Test Loss: 0.0699
Epoch [66/200], Loss: 0.0467
Epoch [67/200], Loss: 0.0457
Epoch [68/200], Loss: 0.0476
Epoch [69/200], Loss: 0.0464
Epoch [70/200], Loss: 0.0456
-- Evaluation after Epoch [70/200], Test Loss: 0.0620
Epoch [71/200], Loss: 0.0494
Epoch [72/200], Loss: 0.0493
Epoch [73/200], Loss: 0.0451
Epoch [74/200], Loss: 0.0450
Epoch [75/200], Loss: 0.0440
-- Evaluation after Epoch [75/200], Test Loss: 0.0618
Epoch [76/200], Loss: 0.0437
Epoch [77/200], Loss: 0.0442
Epoch [78/200], Loss: 0.0439
Epoch [79/200], Loss: 0.0428
Epoch [80/200], Loss: 0.0417
-- Evaluation after Epoch [80/200], Test Loss: 0.0573
Epoch [81/200], Loss: 0.0438
Epoch [82/200], Loss: 0.0472
Epoch [83/200], Loss: 0.0434
Epoch [84/200], Loss: 0.0409
Epoch [85/200], Loss: 0.0417
-- Evaluation after Epoch [85/200], Test Loss: 0.0646
Epoch [86/200], Loss: 0.0406
Epoch [87/200], Loss: 0.0405
Epoch [88/200], Loss: 0.0416
Epoch [89/200], Loss: 0.0410
Epoch [90/200], Loss: 0.0393
-- Evaluation after Epoch [90/200], Test Loss: 0.0738
Epoch [91/200], Loss: 0.0397
Epoch [92/200], Loss: 0.0407
Epoch [93/200], Loss: 0.0424
Epoch [94/200], Loss: 0.0415
Epoch [95/200], Loss: 0.0394
-- Evaluation after Epoch [95/200], Test Loss: 0.0698
Epoch [96/200], Loss: 0.0393
Epoch [97/200], Loss: 0.0381
Epoch [98/200], Loss: 0.0380
Epoch [99/200], Loss: 0.0383
Epoch [100/200], Loss: 0.0380
-- Evaluation after Epoch [100/200], Test Loss: 0.0695
Epoch [101/200], Loss: 0.0377
Epoch [102/200], Loss: 0.0365
Epoch [103/200], Loss: 0.0371
Epoch [104/200], Loss: 0.0366
Epoch [105/200], Loss: 0.0373
-- Evaluation after Epoch [105/200], Test Loss: 0.0745
Epoch [106/200], Loss: 0.0376
Epoch [107/200], Loss: 0.0369
Epoch [108/200], Loss: 0.0353
Epoch [109/200], Loss: 0.0363
Epoch [110/200], Loss: 0.0366
-- Evaluation after Epoch [110/200], Test Loss: 0.0758
Epoch [111/200], Loss: 0.0359
Epoch [112/200], Loss: 0.0367
Epoch [113/200], Loss: 0.0391
Epoch [114/200], Loss: 0.0397
Epoch [115/200], Loss: 0.0369
-- Evaluation after Epoch [115/200], Test Loss: 0.0655
Epoch [116/200], Loss: 0.0353
Epoch [117/200], Loss: 0.0346
Epoch [118/200], Loss: 0.0342
Epoch [119/200], Loss: 0.0366
Epoch [120/200], Loss: 0.0356
-- Evaluation after Epoch [120/200], Test Loss: 0.0724
Epoch [121/200], Loss: 0.0352
Epoch [122/200], Loss: 0.0346
Epoch [123/200], Loss: 0.0359
Epoch [124/200], Loss: 0.0367
Epoch [125/200], Loss: 0.0359
-- Evaluation after Epoch [125/200], Test Loss: 0.0578
Epoch [126/200], Loss: 0.0371
Epoch [127/200], Loss: 0.0387
Epoch [128/200], Loss: 0.0370
Epoch [129/200], Loss: 0.0370
Epoch [130/200], Loss: 0.0350
-- Evaluation after Epoch [130/200], Test Loss: 0.0648
Epoch [131/200], Loss: 0.0368
Epoch [132/200], Loss: 0.0352
Epoch [133/200], Loss: 0.0371
Epoch [134/200], Loss: 0.0355
Epoch [135/200], Loss: 0.0350
-- Evaluation after Epoch [135/200], Test Loss: 0.0904
Epoch [136/200], Loss: 0.0346
Epoch [137/200], Loss: 0.0342
Epoch [138/200], Loss: 0.0325
Epoch [139/200], Loss: 0.0319
Epoch [140/200], Loss: 0.0323
-- Evaluation after Epoch [140/200], Test Loss: 0.0778
Epoch [141/200], Loss: 0.0329
Epoch [142/200], Loss: 0.0311
Epoch [143/200], Loss: 0.0297
Epoch [144/200], Loss: 0.0306
Epoch [145/200], Loss: 0.0307
