Epoch [1/200], Loss: 0.0894
Epoch [2/200], Loss: 0.0732
Epoch [3/200], Loss: 0.0707
Epoch [4/200], Loss: 0.0696
Epoch [5/200], Loss: 0.0691
-- Evaluation after Epoch [5/200], Test Loss: 0.0663
New best test loss: 0.0663. Saving model.
Epoch [6/200], Loss: 0.0680
Epoch [7/200], Loss: 0.0669
Epoch [8/200], Loss: 0.0658
Epoch [9/200], Loss: 0.0649
Epoch [10/200], Loss: 0.0635
-- Evaluation after Epoch [10/200], Test Loss: 0.0855
Epoch [11/200], Loss: 0.0631
Epoch [12/200], Loss: 0.0630
Epoch [13/200], Loss: 0.0618
Epoch [14/200], Loss: 0.0614
Epoch [15/200], Loss: 0.0601
-- Evaluation after Epoch [15/200], Test Loss: 0.0611
New best test loss: 0.0611. Saving model.
Epoch [16/200], Loss: 0.0592
Epoch [17/200], Loss: 0.0589
Epoch [18/200], Loss: 0.0592
Epoch [19/200], Loss: 0.0601
Epoch [20/200], Loss: 0.0594
-- Evaluation after Epoch [20/200], Test Loss: 0.0609
New best test loss: 0.0609. Saving model.
Epoch [21/200], Loss: 0.0588
Epoch [22/200], Loss: 0.0587
Epoch [23/200], Loss: 0.0584
Epoch [24/200], Loss: 0.0588
Epoch [25/200], Loss: 0.0583
-- Evaluation after Epoch [25/200], Test Loss: 0.0626
Epoch [26/200], Loss: 0.0573
Epoch [27/200], Loss: 0.0564
Epoch [28/200], Loss: 0.0569
Epoch [29/200], Loss: 0.0583
Epoch [30/200], Loss: 0.0562
-- Evaluation after Epoch [30/200], Test Loss: 0.0542
New best test loss: 0.0542. Saving model.
Epoch [31/200], Loss: 0.0559
Epoch [32/200], Loss: 0.0572
Epoch [33/200], Loss: 0.0577
Epoch [34/200], Loss: 0.0573
Epoch [35/200], Loss: 0.0553
-- Evaluation after Epoch [35/200], Test Loss: 0.0588
Epoch [36/200], Loss: 0.0548
Epoch [37/200], Loss: 0.0570
Epoch [38/200], Loss: 0.0541
Epoch [39/200], Loss: 0.0527
Epoch [40/200], Loss: 0.0558
-- Evaluation after Epoch [40/200], Test Loss: 0.0905
Epoch [41/200], Loss: 0.0594
Epoch [42/200], Loss: 0.0563
Epoch [43/200], Loss: 0.0542
Epoch [44/200], Loss: 0.0521
Epoch [45/200], Loss: 0.0542
-- Evaluation after Epoch [45/200], Test Loss: 0.0683
Epoch [46/200], Loss: 0.0572
Epoch [47/200], Loss: 0.0542
Epoch [48/200], Loss: 0.0517
Epoch [49/200], Loss: 0.0516
Epoch [50/200], Loss: 0.0507
-- Evaluation after Epoch [50/200], Test Loss: 0.0693
Epoch [51/200], Loss: 0.0520
Epoch [52/200], Loss: 0.0546
Epoch [53/200], Loss: 0.0539
Epoch [54/200], Loss: 0.0522
Epoch [55/200], Loss: 0.0533
-- Evaluation after Epoch [55/200], Test Loss: 0.0815
Epoch [56/200], Loss: 0.0548
Epoch [57/200], Loss: 0.0541
Epoch [58/200], Loss: 0.0543
Epoch [59/200], Loss: 0.0537
Epoch [60/200], Loss: 0.0512
-- Evaluation after Epoch [60/200], Test Loss: 0.0609
Epoch [61/200], Loss: 0.0507
Epoch [62/200], Loss: 0.0510
Epoch [63/200], Loss: 0.0511
Epoch [64/200], Loss: 0.0507
Epoch [65/200], Loss: 0.0510
-- Evaluation after Epoch [65/200], Test Loss: 0.0661
Epoch [66/200], Loss: 0.0477
Epoch [67/200], Loss: 0.0471
Epoch [68/200], Loss: 0.0493
Epoch [69/200], Loss: 0.0483
Epoch [70/200], Loss: 0.0466
-- Evaluation after Epoch [70/200], Test Loss: 0.0584
Epoch [71/200], Loss: 0.0458
Epoch [72/200], Loss: 0.0460
Epoch [73/200], Loss: 0.0467
Epoch [74/200], Loss: 0.0456
Epoch [75/200], Loss: 0.0453
-- Evaluation after Epoch [75/200], Test Loss: 0.0730
Epoch [76/200], Loss: 0.0455
Epoch [77/200], Loss: 0.0460
Epoch [78/200], Loss: 0.0442
Epoch [79/200], Loss: 0.0431
Epoch [80/200], Loss: 0.0435
-- Evaluation after Epoch [80/200], Test Loss: 0.0612
Epoch [81/200], Loss: 0.0432
Epoch [82/200], Loss: 0.0421
Epoch [83/200], Loss: 0.0420
Epoch [84/200], Loss: 0.0412
Epoch [85/200], Loss: 0.0418
-- Evaluation after Epoch [85/200], Test Loss: 0.0546
Epoch [86/200], Loss: 0.0420
Epoch [87/200], Loss: 0.0431
Epoch [88/200], Loss: 0.0416
Epoch [89/200], Loss: 0.0394
Epoch [90/200], Loss: 0.0388
-- Evaluation after Epoch [90/200], Test Loss: 0.0665
Epoch [91/200], Loss: 0.0395
Epoch [92/200], Loss: 0.0399
Epoch [93/200], Loss: 0.0410
Epoch [94/200], Loss: 0.0396
Epoch [95/200], Loss: 0.0443
-- Evaluation after Epoch [95/200], Test Loss: 0.0773
Epoch [96/200], Loss: 0.0406
Epoch [97/200], Loss: 0.0389
Epoch [98/200], Loss: 0.0382
Epoch [99/200], Loss: 0.0377
Epoch [100/200], Loss: 0.0370
-- Evaluation after Epoch [100/200], Test Loss: 0.0652
Epoch [101/200], Loss: 0.0368
Epoch [102/200], Loss: 0.0366
Epoch [103/200], Loss: 0.0364
Epoch [104/200], Loss: 0.0361
Epoch [105/200], Loss: 0.0389
-- Evaluation after Epoch [105/200], Test Loss: 0.0579
Epoch [106/200], Loss: 0.0370
Epoch [107/200], Loss: 0.0359
Epoch [108/200], Loss: 0.0358
Epoch [109/200], Loss: 0.0393
Epoch [110/200], Loss: 0.0379
-- Evaluation after Epoch [110/200], Test Loss: 0.0633
Epoch [111/200], Loss: 0.0376
Epoch [112/200], Loss: 0.0364
Epoch [113/200], Loss: 0.0343
Epoch [114/200], Loss: 0.0371
Epoch [115/200], Loss: 0.0367
-- Evaluation after Epoch [115/200], Test Loss: 0.0641
Epoch [116/200], Loss: 0.0357
Epoch [117/200], Loss: 0.0345
Epoch [118/200], Loss: 0.0340
Epoch [119/200], Loss: 0.0340
Epoch [120/200], Loss: 0.0333
-- Evaluation after Epoch [120/200], Test Loss: 0.0691
Epoch [121/200], Loss: 0.0335
Epoch [122/200], Loss: 0.0379
Epoch [123/200], Loss: 0.0337
Epoch [124/200], Loss: 0.0347
Epoch [125/200], Loss: 0.0332
-- Evaluation after Epoch [125/200], Test Loss: 0.0648
Epoch [126/200], Loss: 0.0318
Epoch [127/200], Loss: 0.0317
Epoch [128/200], Loss: 0.0328
Epoch [129/200], Loss: 0.0323
Epoch [130/200], Loss: 0.0321
-- Evaluation after Epoch [130/200], Test Loss: 0.0615
Epoch [131/200], Loss: 0.0328
Epoch [132/200], Loss: 0.0324
Epoch [133/200], Loss: 0.0316
Epoch [134/200], Loss: 0.0310
Epoch [135/200], Loss: 0.0311
-- Evaluation after Epoch [135/200], Test Loss: 0.0634
Epoch [136/200], Loss: 0.0309
Epoch [137/200], Loss: 0.0314
Epoch [138/200], Loss: 0.0312
Epoch [139/200], Loss: 0.0309
Epoch [140/200], Loss: 0.0337
-- Evaluation after Epoch [140/200], Test Loss: 0.0640
Epoch [141/200], Loss: 0.0338
Epoch [142/200], Loss: 0.0325
