Epoch [1/300], Loss: 0.0835
Epoch [2/300], Loss: 0.0691
Epoch [3/300], Loss: 0.0666
Epoch [4/300], Loss: 0.0652
Epoch [5/300], Loss: 0.0644
-- Evaluation after Epoch [5/300], Test Loss: 0.0921
New best test loss: 0.0921. Saving model.
Epoch [6/300], Loss: 0.0638
Epoch [7/300], Loss: 0.0634
Epoch [8/300], Loss: 0.0629
Epoch [9/300], Loss: 0.0627
Epoch [10/300], Loss: 0.0622
-- Evaluation after Epoch [10/300], Test Loss: 0.0853
New best test loss: 0.0853. Saving model.
Epoch [11/300], Loss: 0.0619
Epoch [12/300], Loss: 0.0614
Epoch [13/300], Loss: 0.0606
Epoch [14/300], Loss: 0.0600
Epoch [15/300], Loss: 0.0593
-- Evaluation after Epoch [15/300], Test Loss: 0.0835
New best test loss: 0.0835. Saving model.
Epoch [16/300], Loss: 0.0587
Epoch [17/300], Loss: 0.0586
Epoch [18/300], Loss: 0.0584
Epoch [19/300], Loss: 0.0581
Epoch [20/300], Loss: 0.0579
-- Evaluation after Epoch [20/300], Test Loss: 0.0819
New best test loss: 0.0819. Saving model.
Epoch [21/300], Loss: 0.0577
Epoch [22/300], Loss: 0.0574
Epoch [23/300], Loss: 0.0572
Epoch [24/300], Loss: 0.0570
Epoch [25/300], Loss: 0.0567
-- Evaluation after Epoch [25/300], Test Loss: 0.0752
New best test loss: 0.0752. Saving model.
Epoch [26/300], Loss: 0.0566
Epoch [27/300], Loss: 0.0564
Epoch [28/300], Loss: 0.0561
Epoch [29/300], Loss: 0.0558
Epoch [30/300], Loss: 0.0556
-- Evaluation after Epoch [30/300], Test Loss: 0.0687
New best test loss: 0.0687. Saving model.
Epoch [31/300], Loss: 0.0555
Epoch [32/300], Loss: 0.0553
Epoch [33/300], Loss: 0.0551
Epoch [34/300], Loss: 0.0548
Epoch [35/300], Loss: 0.0547
-- Evaluation after Epoch [35/300], Test Loss: 0.0647
New best test loss: 0.0647. Saving model.
Epoch [36/300], Loss: 0.0544
Epoch [37/300], Loss: 0.0544
Epoch [38/300], Loss: 0.0540
