Epoch [1/200], Loss: 0.0773
Epoch [2/200], Loss: 0.0763
Epoch [3/200], Loss: 0.0688
Epoch [4/200], Loss: 0.0673
Epoch [5/200], Loss: 0.0664
-- Evaluation after Epoch [5/200], Test Loss: 0.0948
New best test loss: 0.0948. Saving model.
Epoch [6/200], Loss: 0.0658
Epoch [7/200], Loss: 0.0649
Epoch [8/200], Loss: 0.0641
Epoch [9/200], Loss: 0.0635
Epoch [10/200], Loss: 0.0624
-- Evaluation after Epoch [10/200], Test Loss: 0.0893
New best test loss: 0.0893. Saving model.
Epoch [11/200], Loss: 0.0615
Epoch [12/200], Loss: 0.0608
Epoch [13/200], Loss: 0.0602
Epoch [14/200], Loss: 0.0602
Epoch [15/200], Loss: 0.0603
-- Evaluation after Epoch [15/200], Test Loss: 0.0858
New best test loss: 0.0858. Saving model.
Epoch [16/200], Loss: 0.0589
Epoch [17/200], Loss: 0.0585
Epoch [18/200], Loss: 0.0579
Epoch [19/200], Loss: 0.0574
Epoch [20/200], Loss: 0.0568
-- Evaluation after Epoch [20/200], Test Loss: 0.0777
New best test loss: 0.0777. Saving model.
Epoch [21/200], Loss: 0.0569
Epoch [22/200], Loss: 0.0554
Epoch [23/200], Loss: 0.0550
Epoch [24/200], Loss: 0.0552
Epoch [25/200], Loss: 0.0551
-- Evaluation after Epoch [25/200], Test Loss: 0.0788
Epoch [26/200], Loss: 0.0554
Epoch [27/200], Loss: 0.0545
Epoch [28/200], Loss: 0.0542
Epoch [29/200], Loss: 0.0537
Epoch [30/200], Loss: 0.0544
-- Evaluation after Epoch [30/200], Test Loss: 0.0827
Epoch [31/200], Loss: 0.0539
Epoch [32/200], Loss: 0.0535
Epoch [33/200], Loss: 0.0537
Epoch [34/200], Loss: 0.0534
Epoch [35/200], Loss: 0.0543
-- Evaluation after Epoch [35/200], Test Loss: 0.0888
Epoch [36/200], Loss: 0.0536
Epoch [37/200], Loss: 0.0526
Epoch [38/200], Loss: 0.0536
Epoch [39/200], Loss: 0.0520
Epoch [40/200], Loss: 0.0538
-- Evaluation after Epoch [40/200], Test Loss: 0.0802
Epoch [41/200], Loss: 0.0511
Epoch [42/200], Loss: 0.0512
Epoch [43/200], Loss: 0.0511
Epoch [44/200], Loss: 0.0502
Epoch [45/200], Loss: 0.0497
-- Evaluation after Epoch [45/200], Test Loss: 0.0733
New best test loss: 0.0733. Saving model.
Epoch [46/200], Loss: 0.0502
Epoch [47/200], Loss: 0.0507
Epoch [48/200], Loss: 0.0491
Epoch [49/200], Loss: 0.0501
Epoch [50/200], Loss: 0.0493
-- Evaluation after Epoch [50/200], Test Loss: 0.0744
Epoch [51/200], Loss: 0.0488
Epoch [52/200], Loss: 0.0480
Epoch [53/200], Loss: 0.0488
Epoch [54/200], Loss: 0.0487
Epoch [55/200], Loss: 0.0474
-- Evaluation after Epoch [55/200], Test Loss: 0.0749
Epoch [56/200], Loss: 0.0492
Epoch [57/200], Loss: 0.0465
Epoch [58/200], Loss: 0.0460
Epoch [59/200], Loss: 0.0470
Epoch [60/200], Loss: 0.0467
-- Evaluation after Epoch [60/200], Test Loss: 0.0884
Epoch [61/200], Loss: 0.0463
Epoch [62/200], Loss: 0.0457
Epoch [63/200], Loss: 0.0440
Epoch [64/200], Loss: 0.0446
Epoch [65/200], Loss: 0.0442
-- Evaluation after Epoch [65/200], Test Loss: 0.0789
Epoch [66/200], Loss: 0.0467
Epoch [67/200], Loss: 0.0444
Epoch [68/200], Loss: 0.0435
Epoch [69/200], Loss: 0.0435
Epoch [70/200], Loss: 0.0422
-- Evaluation after Epoch [70/200], Test Loss: 0.0822
Epoch [71/200], Loss: 0.0423
Epoch [72/200], Loss: 0.0423
Epoch [73/200], Loss: 0.0426
Epoch [74/200], Loss: 0.0426
Epoch [75/200], Loss: 0.0421
-- Evaluation after Epoch [75/200], Test Loss: 0.0937
Epoch [76/200], Loss: 0.0414
Epoch [77/200], Loss: 0.0406
Epoch [78/200], Loss: 0.0404
Epoch [79/200], Loss: 0.0407
Epoch [80/200], Loss: 0.0398
-- Evaluation after Epoch [80/200], Test Loss: 0.1009
Epoch [81/200], Loss: 0.0395
Epoch [82/200], Loss: 0.0400
Epoch [83/200], Loss: 0.0388
Epoch [84/200], Loss: 0.0404
Epoch [85/200], Loss: 0.0424
-- Evaluation after Epoch [85/200], Test Loss: 0.0809
Epoch [86/200], Loss: 0.0385
Epoch [87/200], Loss: 0.0383
Epoch [88/200], Loss: 0.0381
Epoch [89/200], Loss: 0.0373
Epoch [90/200], Loss: 0.0376
-- Evaluation after Epoch [90/200], Test Loss: 0.0766
Epoch [91/200], Loss: 0.0394
Epoch [92/200], Loss: 0.0383
Epoch [93/200], Loss: 0.0371
Epoch [94/200], Loss: 0.0377
Epoch [95/200], Loss: 0.0377
-- Evaluation after Epoch [95/200], Test Loss: 0.0724
New best test loss: 0.0724. Saving model.
Epoch [96/200], Loss: 0.0376
Epoch [97/200], Loss: 0.0400
Epoch [98/200], Loss: 0.0388
Epoch [99/200], Loss: 0.0373
Epoch [100/200], Loss: 0.0378
-- Evaluation after Epoch [100/200], Test Loss: 0.0678
New best test loss: 0.0678. Saving model.
Epoch [101/200], Loss: 0.0403
Epoch [102/200], Loss: 0.0378
Epoch [103/200], Loss: 0.0389
Epoch [104/200], Loss: 0.0376
Epoch [105/200], Loss: 0.0387
-- Evaluation after Epoch [105/200], Test Loss: 0.0655
New best test loss: 0.0655. Saving model.
Epoch [106/200], Loss: 0.0397
Epoch [107/200], Loss: 0.0381
Epoch [108/200], Loss: 0.0374
Epoch [109/200], Loss: 0.0377
Epoch [110/200], Loss: 0.0369
-- Evaluation after Epoch [110/200], Test Loss: 0.0692
Epoch [111/200], Loss: 0.0381
Epoch [112/200], Loss: 0.0375
Epoch [113/200], Loss: 0.0370
Epoch [114/200], Loss: 0.0373
Epoch [115/200], Loss: 0.0366
-- Evaluation after Epoch [115/200], Test Loss: 0.0680
Epoch [116/200], Loss: 0.0374
Epoch [117/200], Loss: 0.0368
Epoch [118/200], Loss: 0.0367
Epoch [119/200], Loss: 0.0354
Epoch [120/200], Loss: 0.0346
-- Evaluation after Epoch [120/200], Test Loss: 0.0708
Epoch [121/200], Loss: 0.0339
Epoch [122/200], Loss: 0.0331
Epoch [123/200], Loss: 0.0333
Epoch [124/200], Loss: 0.0343
Epoch [125/200], Loss: 0.0338
-- Evaluation after Epoch [125/200], Test Loss: 0.0710
Epoch [126/200], Loss: 0.0331
Epoch [127/200], Loss: 0.0339
Epoch [128/200], Loss: 0.0334
Epoch [129/200], Loss: 0.0338
Epoch [130/200], Loss: 0.0347
-- Evaluation after Epoch [130/200], Test Loss: 0.0712
Epoch [131/200], Loss: 0.0342
Epoch [132/200], Loss: 0.0333
Epoch [133/200], Loss: 0.0341
Epoch [134/200], Loss: 0.0345
Epoch [135/200], Loss: 0.0343
-- Evaluation after Epoch [135/200], Test Loss: 0.0731
Epoch [136/200], Loss: 0.0351
Epoch [137/200], Loss: 0.0350
Epoch [138/200], Loss: 0.0354
Epoch [139/200], Loss: 0.0335
Epoch [140/200], Loss: 0.0332
-- Evaluation after Epoch [140/200], Test Loss: 0.0612
New best test loss: 0.0612. Saving model.
Epoch [141/200], Loss: 0.0325
Epoch [142/200], Loss: 0.0341
Epoch [143/200], Loss: 0.0342
Epoch [144/200], Loss: 0.0351
Epoch [145/200], Loss: 0.0347
-- Evaluation after Epoch [145/200], Test Loss: 0.0625
Epoch [146/200], Loss: 0.0343
Epoch [147/200], Loss: 0.0349
Epoch [148/200], Loss: 0.0354
Epoch [149/200], Loss: 0.0337
Epoch [150/200], Loss: 0.0348
-- Evaluation after Epoch [150/200], Test Loss: 0.0592
New best test loss: 0.0592. Saving model.
Epoch [151/200], Loss: 0.0348
Epoch [152/200], Loss: 0.0337
Epoch [153/200], Loss: 0.0325
Epoch [154/200], Loss: 0.0325
Epoch [155/200], Loss: 0.0318
-- Evaluation after Epoch [155/200], Test Loss: 0.0615
Epoch [156/200], Loss: 0.0321
Epoch [157/200], Loss: 0.0316
Epoch [158/200], Loss: 0.0323
Epoch [159/200], Loss: 0.0313
Epoch [160/200], Loss: 0.0330
-- Evaluation after Epoch [160/200], Test Loss: 0.0667
Epoch [161/200], Loss: 0.0331
Epoch [162/200], Loss: 0.0361
Epoch [163/200], Loss: 0.0356
Epoch [164/200], Loss: 0.0359
Epoch [165/200], Loss: 0.0352
-- Evaluation after Epoch [165/200], Test Loss: 0.0792
Epoch [166/200], Loss: 0.0332
Epoch [167/200], Loss: 0.0308
Epoch [168/200], Loss: 0.0299
Epoch [169/200], Loss: 0.0296
Epoch [170/200], Loss: 0.0291
-- Evaluation after Epoch [170/200], Test Loss: 0.0796
Epoch [171/200], Loss: 0.0296
Epoch [172/200], Loss: 0.0311
Epoch [173/200], Loss: 0.0299
Epoch [174/200], Loss: 0.0287
Epoch [175/200], Loss: 0.0291
-- Evaluation after Epoch [175/200], Test Loss: 0.0805
Epoch [176/200], Loss: 0.0288
Epoch [177/200], Loss: 0.0302
Epoch [178/200], Loss: 0.0308
Epoch [179/200], Loss: 0.0285
Epoch [180/200], Loss: 0.0285
-- Evaluation after Epoch [180/200], Test Loss: 0.0664
Epoch [181/200], Loss: 0.0293
Epoch [182/200], Loss: 0.0307
Epoch [183/200], Loss: 0.0303
Epoch [184/200], Loss: 0.0293
Epoch [185/200], Loss: 0.0287
-- Evaluation after Epoch [185/200], Test Loss: 0.0644
Epoch [186/200], Loss: 0.0286
Epoch [187/200], Loss: 0.0317
Epoch [188/200], Loss: 0.0305
Epoch [189/200], Loss: 0.0295
Epoch [190/200], Loss: 0.0294
-- Evaluation after Epoch [190/200], Test Loss: 0.0694
Epoch [191/200], Loss: 0.0313
Epoch [192/200], Loss: 0.0298
Epoch [193/200], Loss: 0.0297
Epoch [194/200], Loss: 0.0297
Epoch [195/200], Loss: 0.0314
-- Evaluation after Epoch [195/200], Test Loss: 0.0592
Epoch [196/200], Loss: 0.0307
Epoch [197/200], Loss: 0.0295
Epoch [198/200], Loss: 0.0298
Epoch [199/200], Loss: 0.0289
Epoch [200/200], Loss: 0.0298
-- Evaluation after Epoch [200/200], Test Loss: 0.0685
Loading the best model from checkpoint with test loss: 0.0592
Validation Loss (RMSE): 0.0370
Validation results saved to: ./Results\LSTMStudy_20241219_155017\Val\validation_results.txt
Avg Test Loss before reverse scaling(RMSE): 0.0592
Avg Test Loss after reverse scaling (RMSE): 46.5414
Test results saved to: ./Results\LSTMStudy_20241219_155017\Test\test_results.txt
