Epoch [1/200], Loss: 0.1011
Epoch [2/200], Loss: 0.0847
Epoch [3/200], Loss: 0.0836
Epoch [4/200], Loss: 0.0830
Epoch [5/200], Loss: 0.0828
-- Evaluation after Epoch [5/200], Test Loss: 0.0800
New best test loss: 0.0800. Saving model.
Epoch [6/200], Loss: 0.0825
Epoch [7/200], Loss: 0.0822
Epoch [8/200], Loss: 0.0822
Epoch [9/200], Loss: 0.0820
Epoch [10/200], Loss: 0.0819
-- Evaluation after Epoch [10/200], Test Loss: 0.0841
Epoch [11/200], Loss: 0.0818
Epoch [12/200], Loss: 0.0818
Epoch [13/200], Loss: 0.0817
Epoch [14/200], Loss: 0.0816
Epoch [15/200], Loss: 0.0815
-- Evaluation after Epoch [15/200], Test Loss: 0.0878
Epoch [16/200], Loss: 0.0814
Epoch [17/200], Loss: 0.0813
Epoch [18/200], Loss: 0.0798
Epoch [19/200], Loss: 0.0732
Epoch [20/200], Loss: 0.0711
-- Evaluation after Epoch [20/200], Test Loss: 0.1113
Epoch [21/200], Loss: 0.0705
Epoch [22/200], Loss: 0.0704
Epoch [23/200], Loss: 0.0699
Epoch [24/200], Loss: 0.0692
Epoch [25/200], Loss: 0.0684
-- Evaluation after Epoch [25/200], Test Loss: 0.1059
Epoch [26/200], Loss: 0.0680
Epoch [27/200], Loss: 0.0671
Epoch [28/200], Loss: 0.0669
Epoch [29/200], Loss: 0.0665
Epoch [30/200], Loss: 0.0662
-- Evaluation after Epoch [30/200], Test Loss: 0.1007
Epoch [31/200], Loss: 0.0657
Epoch [32/200], Loss: 0.0647
Epoch [33/200], Loss: 0.0641
Epoch [34/200], Loss: 0.0639
Epoch [35/200], Loss: 0.0639
-- Evaluation after Epoch [35/200], Test Loss: 0.0996
Epoch [36/200], Loss: 0.0626
Epoch [37/200], Loss: 0.0633
Epoch [38/200], Loss: 0.0625
Epoch [39/200], Loss: 0.0622
Epoch [40/200], Loss: 0.0614
-- Evaluation after Epoch [40/200], Test Loss: 0.0857
Epoch [41/200], Loss: 0.0605
Epoch [42/200], Loss: 0.0602
Epoch [43/200], Loss: 0.0599
Epoch [44/200], Loss: 0.0595
Epoch [45/200], Loss: 0.0607
-- Evaluation after Epoch [45/200], Test Loss: 0.0806
Epoch [46/200], Loss: 0.0594
Epoch [47/200], Loss: 0.0593
Epoch [48/200], Loss: 0.0590
Epoch [49/200], Loss: 0.0580
Epoch [50/200], Loss: 0.0589
-- Evaluation after Epoch [50/200], Test Loss: 0.0806
Epoch [51/200], Loss: 0.0579
Epoch [52/200], Loss: 0.0580
Epoch [53/200], Loss: 0.0578
Epoch [54/200], Loss: 0.0589
Epoch [55/200], Loss: 0.0567
-- Evaluation after Epoch [55/200], Test Loss: 0.0752
New best test loss: 0.0752. Saving model.
Epoch [56/200], Loss: 0.0570
Epoch [57/200], Loss: 0.0564
Epoch [58/200], Loss: 0.0570
Epoch [59/200], Loss: 0.0554
Epoch [60/200], Loss: 0.0565
-- Evaluation after Epoch [60/200], Test Loss: 0.0772
Epoch [61/200], Loss: 0.0555
Epoch [62/200], Loss: 0.0561
Epoch [63/200], Loss: 0.0544
Epoch [64/200], Loss: 0.0545
Epoch [65/200], Loss: 0.0554
-- Evaluation after Epoch [65/200], Test Loss: 0.0681
New best test loss: 0.0681. Saving model.
Epoch [66/200], Loss: 0.0551
Epoch [67/200], Loss: 0.0551
Epoch [68/200], Loss: 0.0530
Epoch [69/200], Loss: 0.0543
Epoch [70/200], Loss: 0.0532
-- Evaluation after Epoch [70/200], Test Loss: 0.0635
New best test loss: 0.0635. Saving model.
Epoch [71/200], Loss: 0.0533
Epoch [72/200], Loss: 0.0528
Epoch [73/200], Loss: 0.0527
Epoch [74/200], Loss: 0.0525
Epoch [75/200], Loss: 0.0528
-- Evaluation after Epoch [75/200], Test Loss: 0.0625
New best test loss: 0.0625. Saving model.
Epoch [76/200], Loss: 0.0524
Epoch [77/200], Loss: 0.0525
Epoch [78/200], Loss: 0.0521
Epoch [79/200], Loss: 0.0521
Epoch [80/200], Loss: 0.0518
-- Evaluation after Epoch [80/200], Test Loss: 0.0669
Epoch [81/200], Loss: 0.0520
Epoch [82/200], Loss: 0.0520
Epoch [83/200], Loss: 0.0516
Epoch [84/200], Loss: 0.0512
Epoch [85/200], Loss: 0.0510
-- Evaluation after Epoch [85/200], Test Loss: 0.0662
Epoch [86/200], Loss: 0.0504
Epoch [87/200], Loss: 0.0504
Epoch [88/200], Loss: 0.0507
Epoch [89/200], Loss: 0.0514
Epoch [90/200], Loss: 0.0503
-- Evaluation after Epoch [90/200], Test Loss: 0.0557
New best test loss: 0.0557. Saving model.
Epoch [91/200], Loss: 0.0500
Epoch [92/200], Loss: 0.0505
Epoch [93/200], Loss: 0.0490
Epoch [94/200], Loss: 0.0500
Epoch [95/200], Loss: 0.0489
-- Evaluation after Epoch [95/200], Test Loss: 0.0675
Epoch [96/200], Loss: 0.0493
Epoch [97/200], Loss: 0.0499
Epoch [98/200], Loss: 0.0484
Epoch [99/200], Loss: 0.0481
Epoch [100/200], Loss: 0.0483
-- Evaluation after Epoch [100/200], Test Loss: 0.0532
New best test loss: 0.0532. Saving model.
Epoch [101/200], Loss: 0.0492
Epoch [102/200], Loss: 0.0481
Epoch [103/200], Loss: 0.0483
Epoch [104/200], Loss: 0.0473
Epoch [105/200], Loss: 0.0475
-- Evaluation after Epoch [105/200], Test Loss: 0.0540
Epoch [106/200], Loss: 0.0468
Epoch [107/200], Loss: 0.0473
Epoch [108/200], Loss: 0.0472
Epoch [109/200], Loss: 0.0462
Epoch [110/200], Loss: 0.0462
-- Evaluation after Epoch [110/200], Test Loss: 0.0551
Epoch [111/200], Loss: 0.0464
Epoch [112/200], Loss: 0.0481
Epoch [113/200], Loss: 0.0461
Epoch [114/200], Loss: 0.0450
Epoch [115/200], Loss: 0.0465
-- Evaluation after Epoch [115/200], Test Loss: 0.0549
Epoch [116/200], Loss: 0.0457
Epoch [117/200], Loss: 0.0451
Epoch [118/200], Loss: 0.0441
Epoch [119/200], Loss: 0.0453
Epoch [120/200], Loss: 0.0435
-- Evaluation after Epoch [120/200], Test Loss: 0.0644
Epoch [121/200], Loss: 0.0443
Epoch [122/200], Loss: 0.0443
Epoch [123/200], Loss: 0.0440
Epoch [124/200], Loss: 0.0440
Epoch [125/200], Loss: 0.0440
-- Evaluation after Epoch [125/200], Test Loss: 0.0551
Epoch [126/200], Loss: 0.0433
Epoch [127/200], Loss: 0.0430
Epoch [128/200], Loss: 0.0437
Epoch [129/200], Loss: 0.0422
Epoch [130/200], Loss: 0.0441
-- Evaluation after Epoch [130/200], Test Loss: 0.0574
Epoch [131/200], Loss: 0.0427
Epoch [132/200], Loss: 0.0420
Epoch [133/200], Loss: 0.0423
Epoch [134/200], Loss: 0.0424
Epoch [135/200], Loss: 0.0426
-- Evaluation after Epoch [135/200], Test Loss: 0.0596
Epoch [136/200], Loss: 0.0430
Epoch [137/200], Loss: 0.0418
Epoch [138/200], Loss: 0.0420
Epoch [139/200], Loss: 0.0417
Epoch [140/200], Loss: 0.0423
-- Evaluation after Epoch [140/200], Test Loss: 0.0554
Epoch [141/200], Loss: 0.0413
Epoch [142/200], Loss: 0.0417
Epoch [143/200], Loss: 0.0410
Epoch [144/200], Loss: 0.0415
Epoch [145/200], Loss: 0.0401
-- Evaluation after Epoch [145/200], Test Loss: 0.0622
Epoch [146/200], Loss: 0.0411
Epoch [147/200], Loss: 0.0411
Epoch [148/200], Loss: 0.0433
