Epoch [1/200], Loss: 0.1334
Epoch [2/200], Loss: 0.0921
Epoch [3/200], Loss: 0.0889
Epoch [4/200], Loss: 0.0880
Epoch [5/200], Loss: 0.0877
-- Evaluation after Epoch [5/200], Test Loss: 0.0770
Epoch [6/200], Loss: 0.0877
Epoch [7/200], Loss: 0.0876
Epoch [8/200], Loss: 0.0876
Epoch [9/200], Loss: 0.0876
Epoch [10/200], Loss: 0.0876
-- Evaluation after Epoch [10/200], Test Loss: 0.0772
Epoch [11/200], Loss: 0.0876
Epoch [12/200], Loss: 0.0876
Epoch [13/200], Loss: 0.0876
Epoch [14/200], Loss: 0.0877
Epoch [15/200], Loss: 0.0876
-- Evaluation after Epoch [15/200], Test Loss: 0.0771
Epoch [16/200], Loss: 0.0875
Epoch [17/200], Loss: 0.0865
Epoch [18/200], Loss: 0.0857
Epoch [19/200], Loss: 0.0850
Epoch [20/200], Loss: 0.0840
-- Evaluation after Epoch [20/200], Test Loss: 0.0712
New best test loss: 0.0712. Saving model.
Epoch [21/200], Loss: 0.0836
Epoch [22/200], Loss: 0.0831
Epoch [23/200], Loss: 0.0831
Epoch [24/200], Loss: 0.0825
Epoch [25/200], Loss: 0.0819
-- Evaluation after Epoch [25/200], Test Loss: 0.0695
New best test loss: 0.0695. Saving model.
Epoch [26/200], Loss: 0.0824
Epoch [27/200], Loss: 0.0820
Epoch [28/200], Loss: 0.0819
Epoch [29/200], Loss: 0.0811
Epoch [30/200], Loss: 0.0816
-- Evaluation after Epoch [30/200], Test Loss: 0.0687
New best test loss: 0.0687. Saving model.
Epoch [31/200], Loss: 0.0801
Epoch [32/200], Loss: 0.0807
Epoch [33/200], Loss: 0.0800
Epoch [34/200], Loss: 0.0793
Epoch [35/200], Loss: 0.0792
-- Evaluation after Epoch [35/200], Test Loss: 0.0678
New best test loss: 0.0678. Saving model.
Epoch [36/200], Loss: 0.0794
Epoch [37/200], Loss: 0.0788
Epoch [38/200], Loss: 0.0784
Epoch [39/200], Loss: 0.0785
Epoch [40/200], Loss: 0.0786
-- Evaluation after Epoch [40/200], Test Loss: 0.0677
New best test loss: 0.0677. Saving model.
Epoch [41/200], Loss: 0.0778
Epoch [42/200], Loss: 0.0774
Epoch [43/200], Loss: 0.0777
Epoch [44/200], Loss: 0.0780
Epoch [45/200], Loss: 0.0770
-- Evaluation after Epoch [45/200], Test Loss: 0.0666
New best test loss: 0.0666. Saving model.
Epoch [46/200], Loss: 0.0767
